"ID","Type","Name","Documentation","Specialization"
"87f3381e-e23f-4f7d-9d1f-7d481c25ffca","ArchimateModel","PFL","",""
"a2fd41bd-1981-4b44-bc43-d60ff8d55a00","Capability","Capability","",""
"2f606775-1967-45f2-a2e5-cc8cea6c9f24","CourseOfAction","Course of Action","",""
"7c6589fc-7301-4fdc-895b-e854570fdb55","Resource","Resource","",""
"ccaac2bc-b9f3-4438-92e4-0fb78ea63ec8","BusinessActor","Call Center Rep","",""
"0d884ac1-7c41-4b6b-9847-6864ff6eb0f0","BusinessActor","Employee","",""
"05a57076-84a6-4a3c-a338-bf75d1e5c8e3","BusinessActor","Employer","",""
"323844eb-f6da-4786-9ca5-904183fca68a","BusinessActor","IRS Service","",""
"bf8c2e2f-3cce-4a13-8905-6e6041fbac14","BusinessActor","PFL Admin","",""
"f839c152-742b-4307-b8f4-299e56e37f03","BusinessActor","SSA Service","",""
"a3191a43-2e66-463c-b7c5-f5ffa75ffba6","BusinessActor","TPA","",""
"65207f2c-cdc6-4258-9452-00e3ae02b341","BusinessService","Data Storage","",""
"8facd977-11c8-42d1-b709-69d18ae9a5db","BusinessService","Document Metadata","",""
"5d3c6456-efc0-45dc-a99f-e8c992a4a43d","BusinessService","Double Entry Accounting","",""
"6c0044e0-af09-4111-8e58-04090fe78fce","BusinessService","Employee Roster Mgt","",""
"197eed26-d78e-49c1-85f1-0f3cfbc6cee2","BusinessService","Employee Roster Upload","",""
"029b238e-ac99-46c9-965a-a90a0c6bfc34","BusinessService","Employer Registration","",""
"8bddb8d2-1b66-41af-abae-879096300ca6","BusinessService","Invoice & Statement Generation","",""
"8e085d9f-0fef-4cf3-8ace-64a30d3a683b","BusinessService","Invoice/Statement Access","",""
"e85ee5b1-1848-4c7e-97fd-48de19ec6ba5","BusinessService","MongoDB Biz Intelligence Connector","",""
"d859211f-9230-4c04-a815-5ef48392fd2d","BusinessService","Notice Definition","",""
"9997d42d-bf55-4bed-85d8-1b68d30aac16","BusinessService","Online Payment","",""
"dfea6394-d593-46b4-8c6f-4e8b5f5dc4bf","BusinessService","Payment Receipt & Allocation","",""
"ec6e54ec-e2a4-444a-b09f-766f7cbc437e","BusinessService","TPA Employer Portfolio Mgt","",""
"a49f2f14-f308-44be-994c-fc8eed79e696","BusinessService","TPA Registration/Approval","",""
"928f3f6b-5526-48a9-a9a5-fcc5b46642fc","BusinessService","TPA Search/Hire","",""
"21b849b2-59a3-434a-9240-149195ab6219","ApplicationCollaboration","Accounting Services","",""
"e40cba75-dd9c-4285-a69b-ef26f7b40144","ApplicationCollaboration","Analytics/ Reporting","",""
"29141326-dce6-4571-80c6-d8385dfb85ef","ApplicationCollaboration","Benefits Back Office","",""
"75d4cecc-877c-4a3a-8acd-2bc308c0e012","ApplicationCollaboration","Benefits Ledger","",""
"27d629f5-ce7c-4bbf-bded-f764fd37ba12","ApplicationCollaboration","Benefits Marketplace","",""
"d5b635e6-3c24-4306-a950-266e32ac8646","ApplicationCollaboration","Call Center/IVR Services","",""
"8218ba89-ce72-4bbd-9b45-847f07016a0f","ApplicationCollaboration","EDI Journal","",""
"f8bb9644-e3c3-4d37-b0a9-13e81523adfb","ApplicationCollaboration","Enterprise Services","",""
"dd282a96-5174-455e-9853-d2eec831a74c","ApplicationCollaboration","ESSP Web (UITS Employee Self Service Portal)","",""
"2ad1379f-2206-4444-9003-b32cf0ed3a32","ApplicationCollaboration","Integration Services","",""
"d79861ac-0a0a-4f6a-9154-0057f83406c6","ApplicationCollaboration","PFL Internal Landing Page","",""
"616794de-65ca-4433-99dd-4b621c2829a5","ApplicationCollaboration","PFLTS Public Site","",""
"e8acf229-64f5-486d-bea7-4f1b05c2e91f","ApplicationCollaboration","Remote Services Gateway","",""
"b225ca4b-32fd-4783-9e94-795bcce67e8b","ApplicationComponent","Address Verification","",""
"6af01c16-d5fc-47f3-9066-9a85273798c5","ApplicationComponent","Back Office Portal","",""
"39561f82-de12-4591-b4c3-7ebeb867af10","ApplicationComponent","Bank Services (Wells Fargo)","",""
"33ac98a0-92ac-4b0c-9bda-2c559ee09d3a","ApplicationComponent","BenefitMarket Services","",""
"210f2583-c393-4813-93c8-3ac9d3bfb084","ApplicationComponent","Benefits Enrollment Codec","",""
"7d1a4f14-44ee-4dac-a469-c4f7164f0349","ApplicationComponent","Benefits Marketplace Admin Portal","",""
