"ID","Type","Name","Documentation","Specialization"
"d7514b7d","ArchimateModel","3 Identity Map","",""
"id-200c96f6","ApplicationComponent","class 1","",""
"id-1716f488","ApplicationComponent","class 2","",""
"id-2d6e95e6","ApplicationComponent","class identity map","",""
"id-0561658b","ApplicationComponent","concrete Flyweight","",""
"id-9104ea3b","ApplicationComponent","context","",""
"id-4cd8681e","ApplicationComponent","factory","",""
"id-19c4c258","ApplicationComponent","Unshared Concrete Flyweight","",""
"id-536c73c0","ApplicationFunction","create concrete flyweight with given inner shared state","",""
"id-0605e4db","ApplicationFunction","create concrete instance (from DB)","",""
"be78dbba","ApplicationFunction","create unshared concrete flyweight","",""
"id-77c4620d","ApplicationFunction","create unshared concrete flyweight (copy)","",""
"id-3ca44054","ApplicationFunction","get info attrs for some element in tree","",""
"id-34891f7f","ApplicationFunction","get or create instance (input = object ID)","",""
"id-32d91810","ApplicationFunction","get or create shared flyweight (input = inner shared state)","",""
"ebd7f8a8","ApplicationFunction","method 1","",""
"id-4021f02b","ApplicationFunction","method 2","",""
"d8c0e1b5","ApplicationFunction","operation 1 (outer unshared state)","",""
"bf9ea69d","ApplicationFunction","operation 1 (outer unshared state)","",""
"c2818f4c","ApplicationFunction","operation 1 (outer unshared state)","",""
"ddb5230a","ApplicationInterface","flyweight","",""
"id-3490c536","ApplicationProcess","COMMIT all operations","",""
"id-5487adfb","ApplicationProcess","create context","",""
"e8691c61","ApplicationProcess","create flyweight","",""
"id-3fd8ce66","ApplicationProcess","create flyweight","",""
"bbd5ccc1","ApplicationProcess","create flyweight (copy)","",""
"eeecc196","ApplicationProcess","create flyweight (copy)","",""
"id-3307e3c7","ApplicationProcess","Create object","",""
"e0cf1a11","ApplicationProcess","Delete object","",""
"a36bea33","ApplicationProcess","get additional info from context","",""
"bf32dc88","ApplicationProcess","get instance already exists from dictionary","",""
"id-7631fb16","ApplicationProcess","get instance already exists from dictionary","",""
"edd52fdc","ApplicationProcess","get or put from DB","",""
"id-25e59b14","ApplicationProcess","Read object or Find","",""
"id-266b5676","ApplicationProcess","sequence of operations","",""
"e62fdf69","ApplicationProcess","some operation on composite with context","",""
"ad248a3d","ApplicationProcess","some operation on leaf","",""
"be4ca904","ApplicationProcess","step 2","",""
"id-781f8987","ApplicationProcess","step 2","",""
"d87180f7","ApplicationProcess","step1","",""
"a7692fc3","ApplicationProcess","step1","",""
"id-41479bea","ApplicationProcess","Update object","",""
"id-4baf3fa2","ApplicationProcess","write instance into dictionary","",""
"e27b00e5","ApplicationProcess","write instance into dictionary","",""
"id-25561294","DataObject","dictionary (key=inner shared state ,value=ref to shared instance)","",""
"b43216c8","DataObject","dictionary (key=object ID ,value=ref to instance)","",""
"id-7c861519","DataObject","entity 1","",""
"id-7a487415","DataObject","entity 2","",""
"id-778c698b","DataObject","entity 3","",""
"id-8c3464ce","DataObject","entity 4","",""
"id-2cbadd8d","DataObject","entity 5","",""
"id-90ce9ccc","DataObject","entity 6","",""
"ad264db5","DataObject","inner shared state","",""
"id-85ed9f33","DataObject","properties","",""
"d69e6f92","Grouping","database","",""
"id-15975187","Grouping","Grouping","",""
"id-30d6dc05","Junction","Junction","",""
"id-11989aaa","Junction","Junction (copy)","",""
