"ID","Type","Name","Documentation","Specialization"
"72a4b5b6-5b33-49df-8fbb-36e3e931d39c","ArchimateModel","wfmc_reference_architecture","",""
"edf4ecee-4afa-48e6-8d6b-5bcd94326a84","BusinessActor","Administrator","",""
"c27099ba-9313-40a5-a29e-7bdb02be8753","BusinessActor","Participant","",""
"4292627e-1761-417b-a06a-5d91033e70e1","BusinessActor","User","",""
"c9c1083f-de91-4463-bd82-599299bdba96","BusinessObject","Case Data","",""
"5edbccc8-c951-4042-8ede-370adb7c9299","BusinessObject","Process Definition","",""
"d1979851-60d5-4cca-955a-98ccdb0053ab","BusinessObject","Worklist Data","",""
"c2b82072-e9df-42a2-92e0-a53f29366a33","BusinessProcess","Modelling and Excecution","",""
"65ccbb13-45a4-4180-8c4b-7966fc9f0371","BusinessProcess","Operation Supervision","",""
"bd8929e4-fc31-42cd-907b-60ebc2cbbdd6","BusinessProcess","Workflow Interaction","",""
"52f4f87e-5b83-4791-9862-ca4bbeaaa5c6","BusinessRole","Business Role","",""
"84c6c5ef-bea7-4abc-8adb-1a648d596cc9","BusinessRole","Supervisior(s)","",""
"1f0a6146-9855-4a63-9c1f-3fa2d37d444d","BusinessRole","WFM User(s)","",""
"329602c9-dc21-4d77-91ad-63055e9b1068","BusinessRole","Workflow Participants","",""
"afae76b7-90b9-40e0-85b1-fe2e56fb605d","ApplicationComponent","Application Component","",""
"56f1354c-5f97-44cc-ba11-5f8ea219a702","ApplicationComponent","Invoked Application(s)","",""
"11cdff5c-6f53-4c76-8077-769759cc8343","ApplicationComponent","process definition","",""
"1885f6ff-48a9-4f1b-86a5-a66dfe9e323b","ApplicationComponent","Process Definition Tool","",""
"b8720331-4290-41ee-b4cb-2185f5f5c454","ApplicationComponent","Supervisory Operations","",""
"389ba793-9ac4-4963-b65e-d11c63b77e4f","ApplicationComponent","WFM Engine(s)","",""
"47cfcc70-1bf7-457a-a1c2-5b9eef60408c","ApplicationComponent","WFM Engine(s)","",""
"95e9eaea-f6dc-46fd-9de0-d6afbdd35bc6","ApplicationComponent","Workflow Enactment Software","",""
"e03ea93f-ce08-4106-b272-d28cc59075dd","ApplicationComponent","Workflow Engine","",""
"5feb5e67-b4fe-46fd-893d-9cb5d99bd9b3","ApplicationComponent","Worklist handler","",""
"70e6ce33-0d52-4916-bbec-13c285fc9077","ApplicationFunction","Process Defining","",""
"8041a876-2fb5-4200-8dca-4dd9371e7a7a","ApplicationFunction","Prozess Modelling","",""
"4beafeea-31c9-4290-a483-c7e27ec996de","ApplicationFunction","Supervisory Functions","",""
"ad879e10-bf27-49d2-8c32-bc83117f3a50","ApplicationFunction","Workflow Execution Runtime","",""
"edf089ab-039b-4d38-bd0b-d75955e5058d","ApplicationFunction","Worklist Handling","",""
"724d24dc-0c93-44d0-a7ec-a4975bf54116","ApplicationInterface","Application Interface","",""
"9174da45-d391-4e3c-bd22-d2f03c971350","ApplicationService","Application Service","",""
"659e5874-d5d8-41ea-bc6e-8a65e7f520ae","ApplicationService","Invoke Application","",""
"eb66ec80-a022-43f0-97fc-affa750339dc","ApplicationService","Supervise Operations","",""
"89494a35-8e00-4bb0-8b4a-8b58452654b9","ApplicationService","Workflow Execution","",""
"a904eedc-f998-4722-a3ae-9d9c10759d33","ApplicationService","Workflow Modelling","",""
"01f7bbac-145f-4e6f-9e9b-15b4d2667cb2","ApplicationService","Workflow Participant Interaction","",""
"c44315c3-0799-476b-b373-3eb9f943821e","DataObject","Organisation Data","",""
"4f454afd-af1e-4133-a55d-9f438ecdba2f","DataObject","Process Data","",""
"92d22ca8-331d-44a7-9b38-564e79d987ac","DataObject","Process Definition Data","",""
"cab8fd7c-4712-4df7-84ee-7d17dcbeead9","DataObject","Process Definition Data","",""
"3ecd881a-bac4-426b-9442-a44f8d0534b2","DataObject","Workflow Control Data","",""
"42f5a552-85a1-4c97-89ed-ea13e365567b","DataObject","Workflow Relevant Data","",""
"58c16887-d674-461f-b975-273027621e48","DataObject","Worklist","",""
"c54db3d9-2d6b-476a-9980-f60791cfe8fa","Device","Application Server","",""
"ce0edc96-c066-46a7-8b7e-e9b3be950e4f","SystemSoftware","Database Server","",""
"6c6a72cd-0b38-4ecd-904b-bc6c0976fb8f","TechnologyService","Application Hosting","",""
