"ID","Type","Name","Documentation","Specialization"
"_IPuYQHqUEeuCM8KqVoRWiA","ArchimateModel","fireanalyse","",""
"_M-rSAFzEEDmgWIsT_9ldWQ","BusinessActor","Administrateur","",""
"_E11GIFzFEDmgWIsT_9ldWQ","BusinessInteraction","Interaction","",""
"_dYHwMFzFEDmgWIsT_9ldWQ","ApplicationCollaboration","API (Application Program Interface)","",""
"_AMSvMFzFEDmgWIsT_9ldWQ","ApplicationCollaboration","Collaboration","",""
"_RGJTIFzDEDmgWIsT_9ldWQ","ApplicationComponent","","",""
"_epbxoFzGEDmacIjsf3K41g","ApplicationFunction","Module Authentification","",""
"_lHmu8FzGEDmacIjsf3K41g","ApplicationFunction","Module Paiement","",""
"_tsgPkFzDEDmgWIsT_9ldWQ","ApplicationInteraction","Base de données","",""
"_DJL-IFzFEDmgWIsT_9ldWQ","ApplicationInteraction","Interaction","",""
"_D2qIIFzFEDmgWIsT_9ldWQ","ApplicationProcess","Process","",""
"_MPPjsFzFEDmgWIsT_9ldWQ","ApplicationService","facebook","",""
"_u9TeMFzFEDmgWIsT_9ldWQ","ApplicationService","Google auth","",""
"_8v7gkFzFEDmacIjsf3K41g","ApplicationService","PayPal","",""
"_726DUFzEEDmgWIsT_9ldWQ","ApplicationService","Stripe","",""
"_CqO70FzGEDmacIjsf3K41g","CommunicationNetwork","Network","",""
"_3AEssFzDEDmgWIsT_9ldWQ","Device","Utilisateur","",""
"_hwd7YFzDEDmgWIsT_9ldWQ","Equipment","Serveur Web","",""
"_FlSNIFzFEDmgWIsT_9ldWQ","Facility","Services Tiers","",""
