"ID","Type","Name","Documentation","Specialization"
"96d80788-74ee-4d23-86b6-1d632d7d9474","ArchimateModel","Agile Manifesto","",""
"8b416a69-dabb-4f5e-9a7e-4b55b65ced03","BusinessActor","Mensen","",""
"00d4acfd-9da1-4d5c-80cc-2cf682725ddb","BusinessActor","Wij","",""
"9c00c2d0-115d-47c8-9f02-99730f6d4158","BusinessCollaboration","Samenwerken met de Klant","",""
"74922623-12f2-4c19-9270-221d2f5920e8","BusinessFunction","Anderen Helpen","",""
"09297a62-c2e3-46c3-8f4a-8ead8625a466","BusinessFunction","Software Ontwikkeling","",""
"a1b39a05-8e32-4f67-869b-5b208381b5ec","BusinessInteraction","Interacties","",""
"fd087fda-a48b-4cbe-992f-1689160591c0","BusinessProcess","Contracton-derhandeling","",""
"a9450b04-e885-47b3-addf-079d7766475e","BusinessProcess","Inspelen op Verandering","",""
"f7fae001-cab8-4b90-a0ab-784c69228c30","BusinessProcess","Laten Zien Dat Er Betere Manieren Zijn Voor","",""
"80c31b9b-f474-49f0-9588-4c9d68136240","BusinessProcess","Processen","",""
"fe65bfbf-1850-44a7-a79b-8efe7bf402d9","BusinessProcess","Volgen van een Plan","",""
"1a57452c-7c95-402a-bf1b-e2c4a710acea","BusinessRole","Software Ontwikkelaars","",""
"fc43cec0-90d7-45ff-92c1-2f4789cc7e71","ApplicationComponent","Hulpmiddelen","",""
"211ab6f2-1737-4d70-bed6-6f76870986f2","ApplicationComponent","Werkende Software","",""
"d3673968-f8cd-4216-b82e-4f61cac74943","Assessment","Continue Aandacht","",""
"9a0aebe8-f698-40b4-9c50-d16b28a33f99","Assessment","Regelmatig Terugkijken","",""
"234f5ab8-4323-4e8c-a5f2-7f464caa8276","Assessment","Werkende Software","",""
"6e338cc0-6403-44c2-83de-748d108a6ada","Driver","Agile Processen Verwelkomen Verandering","",""
"bc23245b-4a94-4fde-b6c5-7ba84f660ddb","Driver","Agility / Wendbaarheid","",""
"f46e5a7e-0a4d-4fad-8e50-b803387fc77e","Driver","Beste Architectuur, Vereisten en Ontwerp","",""
"70951419-241e-42e0-b3b5-3b70af04a195","Driver","Business en Ontwikkeling werken samen","",""
"fd8fcb81-ee0e-40aa-9a73-d18b5cfa1f8f","Driver","Concurrentievermogen van de klant","",""
"f2bbf020-b54d-4c28-81c3-1ef1b0625389","Driver","Continu Opleveren","",""
"aafb861b-df6d-4a96-a7b6-c70ca4e8d832","Driver","Eenvoud","",""
"7632c7e4-368e-46b9-8150-e11087b7cbb2","Driver","Eeuwig Constant vol te houden tempo van opdrachtgevers, ontwikkelaars en gebruikers.","",""
"3c30d268-2693-4b74-ac86-8068c94df4b7","Driver","Efficiënte en Effectieve informatie Stromen","",""
"90bb8850-70a5-4da4-bdc9-0aa8f50bd299","Driver","Frequent Opleveren","",""
"7350668e-c640-48d9-8d52-77190b0d1b96","Driver","Klant Tevredenheid","",""
"b211c56c-9a56-4449-a4d6-b3f643d129b9","Driver","Klus geklaard","",""
"539a9436-f825-45da-b59a-deeccce8569a","Driver","Mate van Voortuigang","",""
"dba42491-792f-456b-9402-b34258f78726","Driver","Meer Effectief Team","",""
"dd1cdacf-7e87-44f0-af3d-a27c1ccbc9ff","Driver","Noodzakelijk Werk Gedaan","",""
"12bc4173-cc2f-4619-a95b-989682122548","Driver","Onnodig Werk Wordt Niet Gedaan","",""
"b70c85da-d736-40dc-a856-23b7fdb184f0","Driver","Ontwikkeling is Vol te Houden","",""
"df0ac801-07bb-40c8-ade0-cfe216812dbe","Driver","Verwelkom veranderende vereisten","",""
"c436b32c-6527-4fdc-ad31-ea317cd472fe","Driver","Vroegtijdig Opleveren","",""
"5786c2e0-2582-432b-8ed1-35426743dd01","Driver","Waardevolle Software","",""
"1869fa51-0b26-433b-9d95-2a9a89403161","Driver","Werkende Software","",""
"4cc5b868-1c32-4ec6-9ae0-051b0223adab","Meaning","Enkele weken, maximaal een paar maanden","",""
"71b4a705-4c22-460e-8044-6d9c0c0f9bd0","Meaning","Het gaat enkel om Prioriteit","",""
"050d5252-14c8-468c-9f9f-c2ef2667bcc5","Meaning","Korte tijdshorizon heeft de voorkeur","",""
"2335713b-2f1b-46c5-acee-1d39c98c8186","Meaning","Zelfs laat in het ontwikkelproces","",""
"a654dbf0-0b27-4678-8032-9db141e153b3","Principle","1. Onze hoogste prioriteit is het tevredenstellen van de klantdoor het vroegtijdig en voortdurend opleveren van waardevolle software.","",""
"b7cf4ee5-f0cd-4a59-8e71-7c33c633b310","Principle","10. Eenvoud, de kunst van het maximaliserenvan het werk dat niet gedaan wordt, is essentieel.","",""
"437ebe49-1541-40b3-8b5e-de4ad987a112","Principle","11. De beste architecturen, eisen en ontwerpenkomen voort uit zelforganiserende teams.","",""
"b1082889-c7ab-4384-b24a-834fec4817a5","Principle","12. Op vaste tijden, onderzoekt het teamhoe het effectiever kan wordenen past vervolgens zijn gedrag daarop aan.","",""
"21756b8b-bab6-485e-8de3-2ae4dd0a3026","Principle","2. Verwelkom veranderende behoeftes,zelfs laat in het ontwikkelproces.Agile processen benutten veranderingtot concurrentievoordeel van de klant.","",""
"f655e0cb-7761-4a29-9deb-8e300b4fa146","Principle","3. Lever regelmatig werkende software op. Liefst iedere paar weken tot hooguit iedere paar maanden.","",""
"bdc25d56-cfce-4381-8dc1-78a1f9047f3d","Principle","4. Mensen uit de business en ontwikkelaars moeten dagelijks samenwerkengedurende het gehele project.","",""
"2b222efb-649a-4097-9e14-47feb8524725","Principle","5.Bouw projecten rond gemotiveerde individuen.Geef hen de omgeving en ondersteuning die ze nodig hebbenen vertrouw erop dat ze de klus klaren.","",""
"624e5e7d-73c6-469b-a092-ff896faea0f3","Principle","6. De meest efficiënte en effectieve manier om informatie te delenin en met een ontwikkelteam is door met elkaar te praten.","",""
"441941b6-c128-4702-9cc0-6892af7d1520","Principle","7. Werkende software is de belangrijkste maat voor voortgang.","",""
"f05186e5-b26c-449c-8084-73ef9f1fe915","Principle","8. Agile processen bevorderen constante ontwikkeling.De opdrachtgevers, ontwikkelaars en gebruikersmoeten een constant tempo eeuwig kunnen volhouden.","",""
"9456b8b2-7692-462b-9551-99bba832e0cf","Principle","9. Voortdurende aandacht voor een hoge technische kwaliteiten voor een goed ontwerp versterken agility.","",""
"0d694952-8274-4a81-ac6e-4e21eeb7ccb4","Requirement","Agile Processen","",""
"27bf346c-910b-47c9-be71-8f3b5a2a1b5f","Requirement","Dagelijks Samenwerken","",""
"4d806cec-ff5e-4835-b646-f65789e6fc61","Requirement","De omgeving moet kloppen met de behoefte van de ontwikkelaars","",""
"b255fe7c-be92-46ae-98ed-88cdd6ae5ed9","Requirement","Face-to-face communicatie","",""
"a298db37-cccd-4f32-a94d-8fd52c889b1f","Requirement","Goed Ontwerp","",""
