"ID","Type","Name","Documentation","Specialization"
"_KFeL0LIIEeqEM7mFKilpXw","ArchimateModel","KompexerMobilitaetsdienst20200619","",""
"_q-WdUJQ7EDiXKu-Wfz0UlA","BusinessActor","Mutter / Vater","",""
"_I84N8JQ5EDiXKu-Wfz0UlA","BusinessActor","Service Privat","",""
"_nnhEYJQ7EDiXKu-Wfz0UlA","BusinessActor","Tochter / Sohn","",""
"_CnSk4ZQ5EDiXKu-Wfz0UlA","BusinessActor","VBB","",""
"_QT5e0JQ5EDiXKu-Wfz0UlA","BusinessActor","ViP","",""
"_qW9ioJQ6EDiXKu-Wfz0UlA","BusinessObject","Adressdaten","",""
"_wz3UoZQ6EDiXKu-Wfz0UlA","BusinessObject","Aktuelle Verkehrslage","",""
"_sxN-kZQ6EDiXKu-Wfz0UlA","BusinessObject","Soll- und Ist-Fahrplan","",""
"_oNn3kZQ6EDiXKu-Wfz0UlA","BusinessObject","Straßennetz","",""
"_dg4BAZQ6EDiXKu-Wfz0UlA","BusinessProcess","Auskunft IV","",""
"_amVigZQ6EDiXKu-Wfz0UlA","BusinessProcess","Auskunft ÖPNV","",""
"_iJCe8ZQ6EDiXKu-Wfz0UlA","BusinessProcess","Darstellung Karte / Map","",""
"_Dk3yAZQ6EDiXKu-Wfz0UlA","BusinessProcess","Geokodierung von Adressen oder POI","",""
"_pLBwcJQ5EDiXKu-Wfz0UlA","BusinessProcess","Initiale Buchung","",""
"__QZsIJQ5EDiXKu-Wfz0UlA","BusinessProcess","Integration von Daten","",""
"_tb8MAJQ5EDiXKu-Wfz0UlA","BusinessProcess","Umbuchen","",""
"_54FHIJQ6EDiXKu-Wfz0UlA","BusinessRole","Auskunftsdatenverantwortlichen","",""
"_d7ekQJQ4EDiXKu-Wfz0UlA","BusinessRole","Auskunftsgeber","",""
"_YuW3wJQ7EDiXKu-Wfz0UlA","BusinessRole","Buchende","",""
"_yT4n0JQ4EDiXKu-Wfz0UlA","BusinessRole","Kundenvertragspartner","",""
"_pUxXwJQ4EDiXKu-Wfz0UlA","BusinessRole","Mobilitätsdienstleister","",""
"_tK5UwZQ4EDiXKu-Wfz0UlA","BusinessRole","Mobilitätsdienstleister Sharing","",""
"_QhlqoZQ7EDiXKu-Wfz0UlA","BusinessRole","Nutzer*in","",""
"_UiIH4JQ7EDiXKu-Wfz0UlA","BusinessRole","Reisende","",""
"_bHxmMZQ7EDiXKu-Wfz0UlA","BusinessRole","Zahlende","",""
"_6hzrgZQ4EDiXKu-Wfz0UlA","BusinessRole","Zahlungsdienstleister","",""
"_jq0iIZQ3EDiXKu-Wfz0UlA","BusinessService","Buchungsmanager","",""
"_toGDkJQ3EDiXKu-Wfz0UlA","BusinessService","DRT disponieren","<p>DRT ist Teil der von uns gew&auml;hlten Produktdefinition, muss aber ggf. nicht in allen Quatrtieren angeboten werden.</p>",""
"_LAvOAJQ3EDiXKu-Wfz0UlA","BusinessService","Informationsportal Angebot","",""
"_oImVAZQ3EDiXKu-Wfz0UlA","BusinessService","Intermodale Auskunft","",""
"_Ry3CEZQ3EDiXKu-Wfz0UlA","BusinessService","Kunden- und Vertragsverwaltung","",""
"__Tm4gJQ2EDiXKu-Wfz0UlA","BusinessService","Service ist optional","",""
"_3wN_kJQ2EDiXKu-Wfz0UlA","BusinessService","Service muss angeboten werden","",""
"_7t_x0JQ4EDiXKu-Wfz0UlA","BusinessService","Zahlungssystem","",""
"_I5ZRkZQ4EDiXKu-Wfz0UlA","BusinessService","Zugangsverwaltung Sharing","",""
"_UQpIkJQ2EDiXKu-Wfz0UlA","Product","Integrierter Mobilitätsdienst","<p>Umfasst die Folgen &quot;Outcomes&quot;</p><ul> <li>Angebot unterschiedlicher Pl&auml;ne</li> <li>Anskunft und Buchung</li> <li>DRT</li> <li>Sharing</li> <li>.......</li></ul>",""
