"ID","Type","Name","Documentation","Specialization"
"_w5uGIERkEeufTvxJgLajhw","ArchimateModel","sweetein","",""
"_PN0DgCaUEDmtaKsIHhXkbg","Product","SWEETEIN","",""
"_KryYACd_EDmtaKsIHhXkbg","DataObject","ANGAŽOVANJE DODATNE RADNE SNAGE","",""
"_KiZS0Cd8EDmtaKsIHhXkbg","DataObject","ANKETE","",""
"_WyD4MCd9EDmtaKsIHhXkbg","DataObject","DEFINISANJE BUDŽETA I ROKOVA","",""
"_bcow0CaUEDmtaKsIHhXkbg","DataObject","FORMIRANJE PROJEKTNOG TIMA","",""
"_2ppcMCd6EDmtaKsIHhXkbg","DataObject","ISTRAŽIVANJE TRŽIŠTA","",""
"_6XMPgCd7EDmtaKsIHhXkbg","DataObject","KO SU? KOJI SU NJIHOVI POSLOVNI MODELI?","",""
"_kC344Cd7EDmtaKsIHhXkbg","DataObject","KONKURENTI","",""
"_AWU1gCd-EDmtaKsIHhXkbg","DataObject","KREIRANJE MARKETING STRATEGIJE","",""
"_Jkzh0Cd_EDmtaKsIHhXkbg","DataObject","NABAVKA MATERIJALA","",""
"_r40hcCd7EDmtaKsIHhXkbg","DataObject","NJIHOVI KONZUMENTI","",""
"_o6K_ACd7EDmtaKsIHhXkbg","DataObject","NJIHOVI PROIZVODI","",""
"_8tkmICd9EDmtaKsIHhXkbg","DataObject","ODABIR DOBAVLJAČA I PARTNERA","",""
"_kFI30Cd9EDmtaKsIHhXkbg","DataObject","ODABIR PRIMARNIH TRŽIŠTA","",""
"_gCED0CaUEDmtaKsIHhXkbg","DataObject","PLASIRANJE PROIZVODA NA TRŽIŠTE","",""
"_iG0J0CaUEDmtaKsIHhXkbg","DataObject","PRODAJA","",""
"_dIgcwCaUEDmtaKsIHhXkbg","DataObject","PROIZVODNJA","",""
"_eo0HICd_EDmtaKsIHhXkbg","DataObject","PROIZVODNJA PROTEINSKIH ČOKOLADICA","",""
"_y6lXMCd_EDmtaKsIHhXkbg","DataObject","PUŠTANJE MARKETING KAMPANJE","",""
"_IUdboCd8EDmtaKsIHhXkbg","DataObject","SASTOJCI","",""
"_o5cUUCd9EDmtaKsIHhXkbg","DataObject","SPECIFIKACIJA PROIZVODA","",""
"_7J0bwCd6EDmtaKsIHhXkbg","DataObject","STUDIJA IZVODLJIVOSTI","",""
"_kk9VcCd_EDmtaKsIHhXkbg","DataObject","TESTIRANJE KVALITETA PROUZVODA","",""
"_sTsNoCd9EDmtaKsIHhXkbg","DataObject","UTVRĐIVANJE TROŠKOVA","",""
"_SDilgCd7EDmtaKsIHhXkbg","WorkPackage","EVALUACIJA","",""
"_OGcTQCd6EDmtaKsIHhXkbg","WorkPackage","INICIRANJE","",""
"_RXtPsCd6EDmtaKsIHhXkbg","WorkPackage","IZVRŠENJE PROIZVODNJE","",""
"_R83LMCd6EDmtaKsIHhXkbg","WorkPackage","KONTROLA","",""
"_PluUsCd6EDmtaKsIHhXkbg","WorkPackage","PLANIRANJE","",""
"_Qx3XsCd6EDmtaKsIHhXkbg","WorkPackage","PRIPREMA PROIZVODNJE","",""
"_SlX8sCd6EDmtaKsIHhXkbg","WorkPackage","ZAVRŠETAK","",""
