"ID","Type","Name","Documentation","Specialization"
"_4uCRQFJUEeqesv9gci-YTQ","ArchimateModel","medicinia-applications-and-databases","",""
"_f3EDkYT9EDWzlqi4En9OFg","ApplicationComponent","MongoDB","",""
"_gq6iYIT9EDWzlqi4En9OFg","ApplicationComponent","Neo4j","",""
"_da3t8IT9EDWzlqi4En9OFg","ApplicationComponent","PostgreSQL","",""
"_itUfAYT9EDWzlqi4En9OFg","ApplicationComponent","Redis","",""
"_UeuSUIT9EDWzlqi4En9OFg","ApplicationInterface","AngularJS Web App","",""
"_Xz43UYT9EDWzlqi4En9OFg","ApplicationInterface","Ionic Mobile App","",""
"_BVFH8IT9EDWzlqi4En9OFg","ApplicationService","Rails API","",""
"_E-ih8YT9EDWzlqi4En9OFg","ApplicationService","Rails Jobs","",""
"_be1CkYT-EDWzlqi4En9OFg","Facility","Pusher","",""
"_ddS6YYT-EDWzlqi4En9OFg","Facility","S3","",""
"_P0W_gYT-EDWzlqi4En9OFg","Facility","TWW","",""
"_Q0AacIUFEDWzlqi4En9OFg","Grouping","Docker App","",""
"_D6QdoIUBEDWzlqi4En9OFg","Grouping","Docker Backend","",""
"_0al_wYUCEDWzlqi4En9OFg","Grouping","Docker Frontend","",""
"_DsJwMYUBEDWzlqi4En9OFg","Grouping","Grouping","",""
