"ID","Type","Name","Documentation","Specialization"
"177c1bb0","ArchimateModel","eSENS-Metamodel","",""
"d7907347","BusinessActor","Service Provider","",""
"e7c9d095","BusinessFunction","Capability","",""
"2cd4a2f0","BusinessObject","Domain Information","",""
"07b6a5e5","BusinessProcess","Business Process","",""
"66b486b5","BusinessRole","Capability Provider","",""
"616442e8","BusinessRole","Citizen","",""
"bdb3fe12","BusinessRole","Public Authority","",""
"10271992","BusinessService","eService","",""
"8c504c62","ApplicationComponent","Component","",""
"d270d0be","ApplicationFunction","Feature","",""
"5409e72d","DataObject","Domain Data","",""
"9ded2436","TechnologyService","Solution","",""
"348ecb58","Assessment","Sustainability Assessment","",""
"1e450512","Constraint","Technical Specification","",""
"298ac050","Driver","Sustainability","",""
"c7d8ce1d","Goal","Business Need","",""
"1a81a7b6","Goal","Goal","",""
"4d45ebd5","Goal","IPR","",""
"b47368a7","Goal","Maturity","",""
"51f1f5b7","Goal","Openess","",""
"f8589dfd","Goal","Policy Alignment","",""
"de0b0b67","Goal","Standardisation","",""
"53d6f5f2","Principle","Policy","",""
"c1aca758","Requirement","Business Need","",""
"925d014d","Requirement","Generic Requirement","",""
"50694e3c","Stakeholder","Specification Owner","",""
"854d457b","Stakeholder","Stakeholder","",""
