"ID","Type","Name","Documentation","Specialization"
"id-d95c12fc408f42b5af8b0b891388224d","ArchimateModel","2tdsr-SolucaoSuport","",""
"id-eea773a91a634fd785a01f1b0182ba22","Resource","","",""
"id-ccedc9661b7d42ed9626a11b12df715a","Resource","","",""
"id-247d85f6486341e086ab70b3e2f422bd","BusinessActor","Analista de suporete","",""
"id-79aeec11940b4f129d2f8fb926f82c8d","BusinessActor","Cliente","",""
"id-5d271ce41c864fec878b69f174357d28","BusinessCollaboration","Causa dianosticada","",""
"id-81a4fe483b954652be8001f52ceb08f6","BusinessCollaboration","Valida data de vigencia e quitação do contrato","",""
"id-b018a26c63404a65a065ed9f68b5f646","BusinessEvent","Chamado concluído com diagnóstic e solução ","",""
"id-09216b343e004d8b896fc97cb70e68db","BusinessEvent","Chamado pendente com tipo e prioridade atributos","",""
"id-99928162c6b3421f81eeb1a3c79802ad","BusinessEvent","Chamado sem mudança com o Log gerado","",""
"id-41b4857a44a74f81965be52cd131327d","BusinessEvent","Novo chamado Registrado","",""
"id-947ba9ba1a79458abcb9b55a5b0a0d0a","BusinessEvent","Ocorreu um problema no uso do software.","",""
"id-d2db91af40b24099b54a230e8a9e36a4","BusinessEvent","Suporte suspenso","",""
"id-9bf5cc16d84848c1be129ae13a8ab2d4","BusinessFunction","Acessar serviço de suporte da sotwarehouse","",""
"id-3d0e8e2e6f1f417696638dd72ae69355","BusinessFunction","Analizar detalhes do problema","",""
"id-d440a0d2eacd4249afb53b14dd049b6a","BusinessFunction","Business Function","",""
"id-3cc187391b7343ceb2e79a4fc3ff5aad","BusinessFunction","Cancelar falha por registro de contrato","",""
"id-67b2ab02645446918143fa225cc3c4f0","BusinessFunction","Classificar o chamado atribuindo o tipo de problema técnico","",""
"id-8bbdfb93367e4d9a83ab0028a8b583f0","BusinessFunction","Concluir o atendimento, mudando o status pra concluido","",""
"id-65b46e7d8f3049dda0629fb6763e03ee","BusinessFunction","Consultar pendente, filtrando pelo tipo","",""
"id-a95097e0bb684bab87d9ad8fbdf17e40","BusinessFunction","Descrever diagnóstico e solução","",""
"id-4bca889deb324748bc7498d0c12d713f","BusinessFunction","Descreveu o problema","",""
"id-3169cbf450c34e5a8b99575baa7bfa04","BusinessFunction","Diagnosticar a causa do problema ","",""
"id-1feeb56f376041398d7b17e769759954","BusinessFunction","Enviar chamado, recebendo o protocolo.","",""
"id-e3b766fa4df84ba7b26e5f48dc90bd19","BusinessFunction","Informar dados pessoais do funcionário","",""
"id-6e04b395b3b448698d490626d7ae259a","BusinessFunction","Informar numero contrato de suporte","",""
"id-c2e23e4fef574a5a90fe773f7255d827","BusinessFunction","Pesquisar chamados não tipificados que estão pendentes, na ordem de data e hora de abertura","",""
"id-9070bfaca73f415ca3be488308ce303b","BusinessFunction","Priorizar chamado conforme Urgência de solução e impacto do problema","",""
"id-929aaef0c92f4a2f88f1b58ebed89d74","BusinessFunction","Registrar ações realizadas deixando o chamado pendente","",""
"id-db9393795f0246e0afabd3454de5761e","BusinessFunction","Selecionar o chamado a atender mais prioritário e mais antigo","",""
"id-c2e195a509a34b55bfc5024379df088a","BusinessInteraction","Encaminhamento para atendimento","",""
"id-b0698bc21c164e4b87042454f8c39143","BusinessInteraction","Encaminhar Solução","",""
"id-333a414bbcb04e2fb0176ef38855f685","BusinessProcess","Abertura de chamado","",""
"id-fbe985fa6ca64d0ea872298f59fd7b93","BusinessProcess","Solução de ocorência","",""
"id-e34fcdf410d44cca9b88d478b5e863c4","BusinessProcess","Triagem","",""
"id-3baff139e05946dbbae97e788e64a480","BusinessRole","Demandante de suporte ao porduto de software","",""
"id-2d0cc71d2e4a49e0a695a4911b52e6d3","BusinessRole","Especialista de BD","",""
"id-c86537bd9d49438784776adee20694b7","BusinessRole","Especialista de redes","",""
"id-ead72495291f47f29c25888f03cbabaf","BusinessRole","Especialista em HW","",""
"id-5ec67de737c941a08de5f394b30af94f","BusinessRole","Especialista em SW de aplicação","",""
"id-26718d860517422b8acdbfa8305603ed","BusinessRole","Recepcionista de chamados","",""
"id-965514e6ff554613b440d8a9e8964b9b","BusinessService","Contato com cliente","",""
"id-938d26ce205046b285abeb3f3737fbdf","Contract","Contrato de suporte","",""
"id-7a0d0007f0fc477e945a99922b886616","Product","Chamado em status pendente","",""
"id-ad46936cd8ae4b728e87ad35e5e6146b","ApplicationCollaboration","Chamada janelas passando parâmetros","",""
"id-c5c334b26ebf496097dc51a5562eca65","ApplicationComponent","API em Java de pesquisa de dados de contratos de suporte","",""
"id-ef30334943a4427886880c3022380807","ApplicationComponent","App de retaguarda para guardar dados de um novo chamado.","",""
"id-ed2fb436374745b3aeb162824055080e","ApplicationComponent","App em java de retaguarda que permite a manutenção de detalhes de um determinado chamado/protocolo CRUD","",""
"id-dc6466c0995d4911b81e9657f3529f72","ApplicationComponent","App em Java que busca e retorna a lista de tipos de chamado","",""
"id-b90c942c017a48f48ae74c582d24629b","ApplicationComponent","App em Java que lista e retorna as prioridades","",""
"id-78a28ff90eca46379e47e56af4cc0825","ApplicationComponent","App Java em retaguarda que retorna chamado sem prioridade definida e/ou sem classificação de tipo","",""
"id-4f2c9db368224432834d5bd3f8d5a027","ApplicationComponent","Página React para alimentação de dados de um novo chamado.","",""
"id-a719be427a93467ea0a32f1c7700c158","ApplicationComponent","Tela em java para abrir detalhes do chamado e permitir a classificação de tipo e priorização","",""
"id-c4efe6b162914a3eb5d568d43cae067b","ApplicationComponent","Tela em Java pra exibir a lista de chamados para classificar e atribuir prioridade","",""
"id-5b07cedf92ee465ea273f4961a543c9e","ApplicationFunction","Função de alimementação de dados iniciais para orientar ocorrência ","",""
"id-d4ed3a1be839438597699c864b22508a","ApplicationInteraction","Interação por parâmetros","",""
"id-32c824c49aad4798b9bf3de505a5fc2f","ApplicationInteraction","Interação por parâmetros de busca de detalhes de chamado","",""
"id-579c8290afe04befa416222640a3d6d5","ApplicationInteraction","Interação por parâmetros de busca de lista de chamados","",""
"id-a54bf027ee0c4d1e9bdd520b5860a387","ApplicationInteraction","Interação por parâmetros de detalhes de chamado","",""
"id-712ef391baeb407dae3dc40c3e004028","ApplicationInteraction","JSON com dados de chamado","",""
"id-c8958f3fb4db4dfdac0f226aadc61199","ApplicationInteraction","JSON com dados de chamado (copy)","",""
"id-be57f672f0a44949b0c4c502a98622c5","ApplicationInterface","Interface WEB","",""
"id-b7d1a692f45e47fea59d8a1ca623058e","ApplicationInterface","Interface WIndows","",""
"id-8b37e9b86cd948428ac26ed487d52212","ApplicationService","Application Service","",""
"id-97de1e06cbab4a7cbaea67eb5bec0384","ApplicationService","Interface de acesso de usuário","",""
"id-a2a9fb61f8274fd3b86ad1e43650d5f1","ApplicationService","Serviço backend","",""
"id-4047781cae304a1e9736eccc4a52333e","ApplicationService","Serviço de comunicação de aplicação","",""
"id-0ba3d694416a4f1f9eea5a32a27b44ea","ApplicationService","Serviço de dados","",""
"id-fff5cd25b42b48129088292476df567a","ApplicationService","Serviço de DB","",""
"id-42ad27e72cbf4985a3a4c54c05f86c31","ApplicationService","Serviço de interface de usuário","",""
"id-c3f3d0df9efe42d1bb7ba7b22f1a044e","ApplicationService","Serviço de retaguarda de regras de negócios","",""
"id-831a000454ca4d778cf7e9c3084612eb","DataObject","BAse de dados em  SQL de registro de chamado","",""
"id-07f5d8c0f8d54bfc804f20c80eda578f","DataObject","BAse de dados em  SQL de registro de chamado (copy)","",""
"id-c251ef51a9384344a8bd6d189da9c6ce","DataObject","BAse de dados em  SQL de tipo de chamado","",""
"id-59cbe7af7f4b4fbca9aef5e26657cb44","DataObject","BAse de dados em  SQL de tipos de prioridade","",""
"id-754c5dc29cc44887b6d9a492ccfec12a","DataObject","Base de dados em Oracle do sistema Jurídico, acessada por DB LINK","",""
"id-259c2873c0af4fe39461d276a6fffd02","DataObject","Base de dados em SQL de controle de último protocolo usado","",""
"id-cc1332ecdab64fbe82d66f3d783ac633","Device","PC/Notebook do cliente com Hardware com processador Core I3, 8Gb RAM, 512 Gb Storage, placa de rede do cliente","",""
"id-14ce15bae5604d0eb11b0bcf708fef9f","Device","PC/Notebook do empresa com Hardware com processador Core I3, 8Gb RAM, 512 Gb Storage, placa de rede de enthernet 10/100mbps","",""
"id-7dc434c0285248229fecb5593b9faabb","SystemSoftware","Navegador WEB(Safari,Chrome,Edge ), Client do Firewall PIX da CISCO para VPN","",""
"id-974a0599c6f04e8daf201bf6dc2bf4f9","SystemSoftware","System Software","",""
"id-60af818302d04370a3c20052415270e4","SystemSoftware","Windows ","",""
"id-cd9cb5ea482344c5ac66183224ffc37c","Assessment","Permitir acompanmhar todo processo de movimentação de atendimentos de clientes na área de suporte esteja documentado em sistema informalizado , digital","",""
"id-ad009899e1504068bb89540d07502855","Assessment","Permitir consultar os feedbacks dos clientes sobre atendimentos ","",""
"id-a355dc47b90f48e7a319e7b704f519a4","Constraint","","",""
"id-89043dceb3e44b779fbcc58a36b703bd","Constraint","A avaliação deber ser feita por atribuição de uma nota de 0-3, onde 3 é a maior nota e 0  a pior.","",""
"id-cffbb26af71240189fdbb2bd1b187bcd","Constraint","A cada ação realizada pelo especialista de suporte deve ser registrado um log conrtendo: Id do especialista, Data, e hora da ação, descrição da ação","",""
"id-d8180edd4d444fd992f50859ee0def68","Constraint","A consulta de detalhes de chamado e Logs de movimentação  deve ser feita com base na informação do Protocolo.","",""
"id-40e4dbafd4b44e32a2dddcc0dbb3c213","Constraint","A exibição dos chamados será na ordem de prioridade, e dentro de uma mesma prioridades, na sequencia de data e hora de abertura ","",""
"id-f4e018027c9f4ad7b2481c96317539ff","Constraint","A tabulação é feita pelo próprio serviço de formulário na WEB mostrando estatísticas das notas por período de avaliação e equipe/tipo de chamado","",""
"id-12e6e19dec61463185901b2f7e177399","Constraint","Integrar o sistema do form na Web  para disparar uma pesquisa para o email do cliente ligado ao chamado que foi concluido.","",""
"id-124a7bdbad594a07b0c57a9d9f9fc563","Constraint","Na consulta da fila para atendimentom deve ser filtrada pelo Tipo do chamado que indica a equipe que deve solucionar, e pelo status de pendente.","",""
"id-ae94ccfb915d44d5965ef34f71ccc81e","Constraint","O status do chamado pode ser pendente, em atendimento e Concluído","",""
"id-91f912cb5ab44ee28221699c2e7867a7","Driver","Acabar com a informalidade nos atendimentos do suporte que estão gerando perdas de clientes","",""
"id-744c81270c33452fa109560f0b6c0a71","Driver","Ter um mecanismo de comunicação com o clinte para obter uma avaliação do atendimento","",""
"id-61576301f9654a45b877471ae94edccf","Driver","Ter um mecanismos informatizado para resgistrar as atividades de sulução de chamado ","",""
"id-d248ac19c27449b18ab9e01cd6d17e36","Driver","Ter um mecanismos informatizado para resgistrar pedidos de suporte de cliente ","",""
"id-69d3cba71438401dab66c2cf61c52423","Meaning","Meaning","",""
"id-8220dc3617c74e0b8efa233e938da4f4","Meaning","Meaning","",""
"id-a50bfe86aed24d219210dcda50c4a05a","Outcome","100% dos atendimentos registrados em sistema de informação, sendo que essa solução deve estar disponível a partir de 31/12/2023","",""
"id-eca3b9d634114896af1f7405027928d1","Outcome","As avaliações devem ocorrer apo´s o encerramento do atendimento de cada chamadop, sendo disponível 3 messes depois da implementação do sistema de controle de chamados","",""
"id-cf4c7dacb1c440be8c7eb43613534171","Principle","A reposta pelo cliente é opcional","",""
"id-a50c737f99844f169c34b6bac612d12a","Principle","As pesquisas de sastifação devem ser disparados sempre aop final de um atendimento","",""
"id-7fb6a891ab134c8a8d4c6d51c22f0a3c","Principle","O precesso de solução deve","",""
"id-51b4e3dda94f48a48a27ab143f09443f","Principle","Os chamados devem ser resolvidos o mais rápido possivel, portanto devem ser direcionados para grupos ","",""
"id-af041790a8df4cfcbefe200c1fcaf173","Requirement","Cadastramento de chamado","",""
"id-9bd2514444e54cdd8fc875ab8c7fca45","Requirement","Cadastramento de tipos de ocorrências","",""
"id-7bd4fd43f87244e6870082dd4fd8664f","Requirement","Consulta de chamados encerrados","",""
"id-54869128dba54e858a70e65273e2e5b7","Requirement","Consulta de chamados específicos","",""
"id-5e16dbd7c4a74d65947b910a6d772652","Requirement","Consultada de chamada de pendentes","",""
"id-94a3284844794bb5bdae844a3835bbbb","Requirement","Controle de status de chamado","",""
"id-7c0bad7628824b3daf0dd54463c413d1","Requirement","Direcionamento de equipe solucionados","",""
"id-88a71beb7ed74344a0804d829a0d40e4","Requirement","Envio de pesquisa de satisfção ","",""
"id-c62c542c8cb04ccf8c9e1989eef95d1f","Requirement","Registro de log de ações","",""
"id-4a3148928eba462db0e8dd88927c9639","Requirement","Tabulação de retornos de pesquisa","",""
"id-dba1a3516e3449bda682ed2563630d7f","Stakeholder","","",""
"id-b7a4544b4ec344b9bb7b34e351a6bee0","Stakeholder","Acabar com a informalidade nos atendimentos do suporte que estão gerando perdas de clientes","",""
"id-93b5927dd3614146b2ce671a6db29b1a","Stakeholder","Aumentar a retenção de ","",""
"id-09b20a5049d24eec84ae287fdaa9774b","Stakeholder","Presidente da Software house(Dilan)","",""
"id-fb9c631525a345d49f851b9cad8b3ff3","Value","Aumentar a retenção de clientes atuais evitando cancelamento de contratos. Hoje a empresa perde 200k em média com cancelamentos por conta de insatisfalão","",""
"id-4dfa074a306946439b3cc4dfbdc01e56","Value","Clientes satisfeitos vão ampliar negócios e indicar novos clientes. Hoje captamos em torno de 120k por ano com novos negócios com clientes satisfeitos ou clientes que vieram por indicação.","",""
"id-a62b5099db8042fabedcbbeebba3bb80","Junction","Junction","",""
"id-894fecb720914f838a1b16a7b056ba43","Location","Escritório sede da softwarehouse","",""
"id-47dee05aaabb466ebee287fe18a6d32e","Location","Remota no site/endereço do cliente","",""
