"ID","Type","Name","Documentation","Specialization"
"_udxBwOA9Ee2WPKO9eknDFA","ArchimateModel","FleXtory Step 4","",""
"_udyQQOA9Ee2WPKO9eknDFA","Capability","Automated Transport","",""
"_udyQNuA9Ee2WPKO9eknDFA","Capability","Quality Control","",""
"_udyQOOA9Ee2WPKO9eknDFA","CourseOfAction","Course of Action 1","",""
"_udyQOuA9Ee2WPKO9eknDFA","CourseOfAction","Course of Action 2","",""
"_udyQTOA9Ee2WPKO9eknDFA","Resource","AGV","",""
"_udyQXuA9Ee2WPKO9eknDFA","Resource","AGV","",""
"_udyQROA9Ee2WPKO9eknDFA","Resource","AR Glasses","",""
"_udyQSuA9Ee2WPKO9eknDFA","Resource","AR Glasses","",""
"_udyQRuA9Ee2WPKO9eknDFA","Resource","Cobot","",""
"_udyQWuA9Ee2WPKO9eknDFA","Resource","Cobot","",""
"_udyQSOA9Ee2WPKO9eknDFA","Resource","Manual workstation","",""
"_udyQUOA9Ee2WPKO9eknDFA","BusinessActor","Quality inspector","",""
"_udyQVOA9Ee2WPKO9eknDFA","ApplicationComponent","Quality Management System","",""
"_udyQXOA9Ee2WPKO9eknDFA","CommunicationNetwork","Device Communication","",""
"_udyQWOA9Ee2WPKO9eknDFA","Equipment","AGV","",""
"_udyQTuA9Ee2WPKO9eknDFA","Equipment","AR Glasses","",""
"_udyQVuA9Ee2WPKO9eknDFA","Equipment","Cobot","",""
"_udyQUuA9Ee2WPKO9eknDFA","Equipment","Workstation","",""
"_udyQKOA9Ee2WPKO9eknDFA","Assessment","AGV not integrated","",""
"_udyQJuA9Ee2WPKO9eknDFA","Assessment","COBOT not integrated","",""
"_udyQMOA9Ee2WPKO9eknDFA","Assessment","High Lead Time","",""
"_udyQNOA9Ee2WPKO9eknDFA","Assessment","Incomplete Data Acquisition","",""
"_udyQLOA9Ee2WPKO9eknDFA","Assessment","Work Units not fully integrated","",""
"_udyQMuA9Ee2WPKO9eknDFA","Goal","Increase Efficiency","",""
"_udyQKuA9Ee2WPKO9eknDFA","Goal","Reduce downtime","",""
"_udyQPOA9Ee2WPKO9eknDFA","Outcome","Increase the Quality Ratio by 10% in Q3 2023","",""
"_udy28OA9Ee2WPKO9eknDFA","Outcome","Increase the Quality Ratio by 10% in Q3 2023","",""
"_udyQPuA9Ee2WPKO9eknDFA","Outcome","Increase the Throughput Rate by 15% in Q3 2023","",""
"_udy28uA9Ee2WPKO9eknDFA","Outcome","Increase Throughput Rate by 15% in Q3 2023","",""
"_udyQQuA9Ee2WPKO9eknDFA","Value","Value","",""
"_udyQLuA9Ee2WPKO9eknDFA","Junction","Junction","",""
