"ID","Type","Name","Documentation","Specialization"
"62327ae6-cd0b-4d9d-8452-489a323c7a8c","ArchimateModel","repositoryUMCU","",""
"5a48ce8e-d0fe-4e02-9bdb-2969da063200","BusinessActor","Patiënt  ","",""
"05df36e0-1dde-4f07-85d4-de4b0c9e7586","BusinessEvent","Recipe ","",""
"fa69bf84-a264-4d38-bf96-04a0dfd34644","BusinessFunction","Account and group management","",""
"c185778b-fff7-4f73-8627-c9d736787bc5","BusinessFunction","Assign application rights","",""
"77bb5f5f-c55c-4bc4-987f-2fa63554dace","BusinessFunction","Conservation","",""
"d8d6062f-a5a2-4c59-a0b7-85af380adba5","BusinessFunction","Create account","",""
"b7a14070-8fab-4343-ab67-46cb9f0ad9d8","BusinessFunction","Deactivate account","",""
"823b1d78-3424-4ab7-b677-b4d9e4d4af5a","BusinessFunction","IAM","",""
"37d64852-3ed1-466e-99d7-22a64c36516d","BusinessFunction","Personnel administration","",""
"a9933926-cca1-4a50-827d-8ec646acfdab","BusinessObject","Patient file ","",""
"22548614-8da8-4734-8311-11922da051ea","BusinessProcess","Access exchange","",""
"067bae77-838b-423f-a788-e078197fa633","BusinessProcess","Authorization management","",""
"3f7dfb5e-4af7-402d-bc98-d991338223b3","BusinessProcess","BSN and COV check insurance data","",""
"3e21bdbe-c339-4a02-80d9-7f8c15d1b96f","BusinessProcess","Capacity management","",""
"50c0a317-98f8-4b7c-b17b-d87d24b5bd05","BusinessProcess","Delivery workplace","",""
"c0132f25-03f8-40c0-945b-f1c0460c1216","BusinessProcess","Distribute chat application","",""
"da0de292-09ea-4ad5-843b-ced641ced8ca","BusinessProcess","Distribution Outlook client","",""
"d77816d8-013f-4322-a77d-16be3adafec2","BusinessProcess","Employment","",""
"74a4e919-e25d-4b3e-8373-40ab98bc5732","BusinessProcess","Function change","",""
"3d9fa7d7-abf0-4df4-ac3e-e054680dd36c","BusinessProcess","License management","",""
"43afbf7c-423e-4951-8f1e-0d90025eb060","BusinessProcess","Medication monitoring ","",""
"bbd75f0f-43cf-49d8-99ae-ed0c6c4d11a0","BusinessProcess","Process recipe in CGM ","",""
"6ca08836-ac55-47f2-82d6-ff5485b2ed82","BusinessProcess","Provide medication ","",""
"cbaa6931-504a-4e6b-a616-09f80d7a1d38","BusinessProcess","Self-service SharePoint","",""
"7d89ffac-03ae-47e8-a698-78d80587c2c0","BusinessProcess","Termination of employment","",""
"3384f350-ffa7-4798-bff4-410b66ca1044","BusinessProcess","User deprovisioning","",""
"aa2d0e70-5d0f-4e43-bf80-574cefaa5382","BusinessProcess","User provisioning","",""
"73dcf768-2105-4e6d-a0b6-b63103928a49","BusinessProcess","User provisioning Exchange","",""
"08976727-c437-4493-9a14-1b83e44d5c21","BusinessRole","Pharmacist ","",""
"6e6eac90-a4ac-4aa7-9fdb-373c409f44fe","BusinessRole","Pharmacist assistent","",""
"867688b0-b7c1-4807-b3ed-5cb0346ad19c","BusinessService","Access facilities","",""
"448c701f-5372-412f-af46-fcb077013e2d","BusinessService","Deliver electronic agenda","",""
"3921014e-b606-47b2-8658-60a95823c617","BusinessService","Deliver email function","",""
"adc163e5-e9dc-4bdd-9e9c-bcbc6db7bd2c","BusinessService","Deliver team site","",""
"3f39d8e9-dddb-4cb0-97a9-3cbdbbf816ef","BusinessService","Guarantee continuity","",""
"77c76f36-6b0c-4ab4-8a8b-aa2ad81db69f","BusinessService","Personnel administration","",""
"9b8bad05-1f66-48db-95a5-958ae088d96e","BusinessService","Provide access to ICT","",""
"f0eb5ccd-7962-4789-8526-543194eddf5f","BusinessService","Provide global address book","",""
"413dbfe2-de05-4fad-a107-695ca78a772e","BusinessService","Provide video conferencing for workplace","",""
"e5ba09e3-8363-40ee-a60e-4d270c43bfbe","BusinessService","Supply chat function","",""
"594937c9-b70a-44ac-a6ca-f2d8d5907881","BusinessService","Supply document library","",""
"59c4c496-77f8-42d8-afc5-5aab4baaeda2","ApplicationCollaboration","AD synchronisation","",""
"78acdb3c-6042-4233-ae33-a2cbe8c713cc","ApplicationComponent","Active Directory local","",""
"08dec599-e8ce-4815-aaaf-d437d433b19e","ApplicationComponent","App-V/ThinApp","",""
"544cafff-741a-4a8a-aa9e-b783a14a6f9c","ApplicationComponent","Autopharma ","",""
"30dbbcea-cfc4-4246-af5c-69edae0623c0","ApplicationComponent","Azure AD","",""
"69f14ce3-22ab-444b-9c1e-89d80caf10c5","ApplicationComponent","Brocacef  supplier (orders)","",""
"18eb2171-7085-4c23-9154-2e2a44d5bc6c","ApplicationComponent","Central application (Chipsoft HiX)","",""
"d9e0a493-22f4-4af0-9a22-02a306af3217","ApplicationComponent","EZorg","",""
"eb063b52-6882-452e-8faf-4bfa91aa278f","ApplicationComponent","MIRA (CGM Pharmacy) ","",""
"36bd0535-24eb-4b49-9336-c60645338b1e","ApplicationComponent","National Exchange Point ","",""
"6c87cb60-b587-4f36-a218-5d94db323fe6","ApplicationComponent","SCCM","",""
"a2db7d7a-6f8d-47d8-873d-6edbc2058c72","ApplicationComponent","ServiLocker","",""
"cf09bb74-b118-41e1-99f4-0387bfe07d20","ApplicationComponent","Tenant management Office 365","",""
"1378415e-4511-4584-b72b-034e335523e4","ApplicationFunction","Access management","",""
"4e38bfa0-da33-402f-9db9-dbc7df9fa05e","ApplicationFunction","Account administration","",""
"8bb2eb3b-534b-4918-9b15-666bc2ecb040","ApplicationFunction","Application distribution Office","",""
"2b3e7be2-002a-4922-a53c-3e3fa64429be","ApplicationFunction","BSN Check (Social security number check) ","",""
"c9254518-86b2-459c-898f-cc542dcc9e47","ApplicationFunction","COV Check ","",""
"d3c76a5b-6eed-44b5-be87-16ed3541df68","ApplicationFunction","CS Poli-Apotheek ","",""
"72f68233-3a69-48d6-b343-66b77b9506ba","ApplicationFunction","Exchange management","",""
"29a5fc96-0a8b-4bbb-a93f-bbb69f1cc58b","ApplicationFunction","Groups administration","",""
"ccfa9686-07c6-44e8-9b62-1379bca80c97","ApplicationFunction","HR registration","",""
"9011ba31-a2e7-4d6c-9eed-2f2a11eb05a3","ApplicationFunction","Identity provisioning","",""
"5022df09-5721-4f71-a74d-89e5d652f855","ApplicationFunction","Manage user profiles","",""
"797b4d91-f17e-46b3-a5ba-4dbcceab6ddf","ApplicationFunction","Medical data","",""
"532f8b72-0f40-4fea-9e4a-00dc91572ba8","ApplicationFunction","Monitoring medication","",""
"1ba340ed-662f-4908-906a-02b73e7d3458","ApplicationFunction","Patient resgistration  ","",""
"1be100b3-73d7-401a-8cf6-2cc18cd52067","ApplicationFunction","Process recipe ","",""
"76817d41-2d8a-4204-847c-6d40a08ae932","ApplicationFunction","Site management SharePoint","",""
"c0ab1ae3-420a-401c-9fb3-46f95bea486a","ApplicationFunction","Skype4-Business management","",""
"95ed6c76-65f6-4995-bc33-bfdb74eb44c3","ApplicationService","SMS/E-mail (track and trace)","",""
"0f757b06-f8e3-4dda-acc2-2f5aa6a39c65","DataObject","Patient data ","",""
"70441db5-0436-42b9-9c10-39f1dd0310a4","CommunicationNetwork","CGM","",""
"e8335d50-9b06-45ce-b634-77dc6add7e3f","CommunicationNetwork","UMC Utrecht LAN ","",""
"18df25ec-9db9-4aa7-9ef5-7948c3f37112","Location","KPN ","",""
