"ID","Type","Name","Documentation","Specialization"
"f9987c2d-3505-4c0b-af12-de68fd75bbd9","ArchimateModel","RETN","",""
"c2238b99-6d7e-4571-a806-0b07074bbc33","BusinessEvent","Business Event","",""
"2447ff1b-6d23-4378-9b1f-2d147d5f9d12","BusinessEvent","Business Event","",""
"9f7c84ff-792f-4de8-b310-c1c3468f6199","BusinessEvent","График платежей согласован","",""
"d479e5bf-001b-4d96-a224-7208fb3d2de7","BusinessEvent","Договор заключен","",""
"e2429d0e-20cb-45cc-81f1-0f0714331eed","BusinessEvent","Закрывающие документы подготовлены","",""
"88f9fe8d-c3da-4327-b7b3-4b6bea51a95a","BusinessEvent","Запущена работа сети","",""
"66ac3333-4e68-4e86-8f92-0dd3ce71667a","BusinessEvent","Карточка клиента обновлена","",""
"415bb3ab-13da-49e1-a8c2-cb88f2cdc834","BusinessEvent","Клиент поставлен на тех обслуживание","",""
"2e3cdc69-90fe-482d-8f7d-cff11445eb16","BusinessEvent","Комлект закрывающих документов загружен","",""
"b1f4d323-2666-4bd1-b744-944f8aba5164","BusinessEvent","Конфигурации согласованы","",""
"f89d5e7b-59fa-4ee3-aca9-8cff24bc1a40","BusinessEvent","Конфигурация ресурсов изменена","",""
"366b91a6-6f98-48f1-bbde-443dc1458673","BusinessEvent","Конфигурация ресурсов пересмотрена","",""
"55f1e4d8-275f-4e9b-844d-4a534b92eac2","BusinessEvent","Критерии отбора поставщиков согласованы/озвучены","",""
"a4ca2255-623d-46fe-b99a-c088d7fdc403","BusinessEvent","Назначен инициатор договора","",""
"ecc8e08e-bfd7-4c78-851b-2bc946ad6ce4","BusinessEvent","Оплаты по договору выполнены в полном объеме","",""
"c85e2a10-8592-4626-911b-d878688f1cc0","BusinessEvent","Пакет услуг согласован с клиентом","Тарификация пакета услуг",""
"1b086a13-d0ff-4519-8b31-4b15808adf82","BusinessEvent","Поступило обращение клиента","",""
"af56bd9d-e72a-4575-b484-80981e8c5fe7","BusinessEvent","Предварительный резерв  ресурсов","",""
"2b191699-d72b-43c6-82cb-2d0ae688494d","BusinessEvent","Проект договора подготовлен и ушел на согласование","",""
"d59c9663-b45b-4038-b07a-43b254f5bd61","BusinessEvent","Протокол приемочных испытани согласован","",""
"8d1447fc-f522-4956-8c2b-cc34223cd332","BusinessEvent","Профиль риска для клиента пересмотрен","",""
"89ca0f7c-8c5f-4230-8854-2dd36b4d9f9b","BusinessEvent","Реализуемость тех. требований подтверждена","",""
"df0fbeaf-a503-4658-943c-63318c36cacf","BusinessEvent","Себестоимость и маржинальность посчитана","",""
"41491b89-57b4-4044-9fb8-004f5f03c091","BusinessEvent","Сконфигурировано подключение ","",""
"6979fceb-c35a-45ee-95ee-980abf86d303","BusinessEvent","Сформирована методика испытаний","",""
"f3ba171c-2616-42ea-9820-e4c61d7d2e4c","BusinessEvent","Тарифы/условия согласованы","",""
"950db2ec-d8a9-471d-98a7-bf0186554ff8","BusinessEvent","Тех требования подготовлены","",""
"af459c21-62fb-4de1-b10d-933696c5e61c","BusinessEvent","Тех требования утверждены заказчиком","",""
"a48ffa12-24b6-461b-9dfa-4ca6d65e9714","BusinessEvent","Техническая готовность со стороны RETN","",""
"e5517337-63bd-48c1-9e18-058c05c1128a","BusinessEvent","Техническая готовность со стороны заказчика ","",""
"746d42ba-5a76-4d01-86f2-22c5661c51bd","BusinessEvent","Фин блок принял закрывающие документы к учету","",""
"3ca3cafa-7e2a-4656-aa76-1c3bdecd8ed0","BusinessEvent","Фин модель пересмотрена","",""
"83828143-f22d-4d4b-a865-680101080a7d","BusinessEvent","Фин модель пересмотрена","",""
"de44b4de-cb95-4f81-85e6-80cafb65739f","BusinessObject","Договор/инвойс","",""
"9b141f10-2385-4b6c-971f-55d589ac8c75","BusinessObject","Запрос на  RFP","",""
"f6f33c2f-46be-4d7b-bcec-61d739c11fe0","BusinessObject","Конфигурация ресурсов","",""
"f4c89e07-e28d-44be-bd02-1496c31d4abf","BusinessObject","Модель ценообразования","",""
"b02a4723-969d-4552-a6f1-122ea76b5bdf","BusinessObject","Набор услуг связи","",""
"08d1d9a8-c42b-4ad1-ab35-f60f7a8489de","BusinessObject","Ответ на RFP","",""
"2caa0064-cdef-41a0-9788-4c1c08dfca9a","BusinessObject","План проекта","",""
"f94e1820-5775-48a5-aca0-2c56a5d38dd3","BusinessObject","Существенные условия договора","",""
"ceac2741-33b9-4409-b1e2-d4e2cc435613","BusinessObject","Технические требования","",""
"39de2922-9648-4066-9538-c30398154738","BusinessObject","Цена договора","",""
"a7202b1a-339f-42f4-a005-bfb18dbca8c5","BusinessProcess","inсident management и модернизация","",""
"7284d0e8-c20e-44f6-9531-c172e0e208e3","BusinessProcess","Pre Sale","",""
"c879e946-a492-40b8-8563-e38a24759c8a","BusinessProcess","RFP","",""
"6a75ab2c-b936-4e17-a401-286e027b8fa0","BusinessProcess","RFQ","",""
"ae5dc10c-9293-42f3-b1c2-4d496bdf39e5","BusinessProcess","Service Guiding & Mediation ","",""
"80d780ae-c39f-471a-beaa-ca0cddec3f16","BusinessProcess","Адм закрытие договора","",""
"dda8fea0-065c-4d91-b8ce-f2321549595f","BusinessProcess","Заключение договора","",""
"93cfb8fe-3fed-45eb-9832-ef502cc4d7a1","BusinessProcess","Занесение в CRM","",""
"ed6a2a44-90ba-4c4e-9116-dea2b1c53e01","BusinessProcess","Конфигурирование и тех подключение","",""
"28ad621a-d517-4acf-af95-c40d3ad5bf21","BusinessProcess","Оказание услуг связи","",""
"de409733-0b93-4227-9fa4-08926eef6107","BusinessProcess","Отключение услуг связи","",""
"902affec-858e-424b-b08f-bc5f5fe8818c","BusinessProcess","Поддержка и готовность SM&O ","",""
"c2fb7437-ddd9-49b9-bd40-52b4f4194a26","BusinessProcess","Приемка договора в эксплуатацию","",""
"8a6e62f6-47e4-4bd8-99ac-4c39bbd8a12d","BusinessProcess","Приемочные испытания","",""
"79032678-0477-477e-8fe3-1473d58c2df2","BusinessProcess","Разработка тех конфигурации","",""
"4b9b938b-1f53-4026-af42-579590da4b2e","BusinessProcess","Расчет цены договора/контракта","",""
"1f062682-5645-4334-bbfa-75747bd7d162","BusinessProcess","Согласование и разработка тех требований на подключение","",""
"c1fafc4b-f96c-486f-b2fd-6b4c084c7bf2","BusinessProcess","Согласование критериев ""конкурса"" либо условий прямой закупки","",""
"f28d2103-042d-427f-92ef-d6f1bc4b7076","BusinessProcess","Техническое отключение","",""
"85de56b3-8930-426f-a2bd-33735cad4e8c","BusinessProcess","Техническое подключение","",""
"222bb557-d473-4796-b38b-0c7afa76aa82","BusinessProcess","Управление качеством обслуживания","",""
"c103ee58-16e9-4e90-b31c-bc1cce633b64","BusinessProcess","Управление портфелем заказов","",""
"3170f367-d81c-45e7-bdc4-4ab3660da3c7","BusinessProcess","Управлением портфелем заказов (тарификация)","",""
"9d4613ab-a1d8-445b-a81d-3c9f790bc5cc","BusinessRole","Инженер конфигуратор","",""
"476dd8d8-5a67-4c50-997b-22f07e54f506","BusinessRole","Коммерсант","",""
"83a7b40a-ae0c-42f0-8dd0-3b486c439381","BusinessRole","Менеджер (продажник)","",""
"487bdcaf-2f73-4f7c-a7fc-8f566a24219a","BusinessRole","Менеджер проекта","",""
"8235154e-35bf-4edc-a041-1c55287f2bfd","BusinessRole","Представитель заказчика","",""
"e2a6c740-f57d-4ff5-8dbe-9cb6b2795bc2","BusinessRole","Финансист","",""
"6ea31c72-830d-41e3-8a82-a32ec7f5c088","BusinessRole","Эксплуатанционщик","",""
