"ID","Type","Name","Documentation","Specialization"
"id-b2d8abb4d91c486d9fbc21de66e29b91","ArchimateModel","Fipufresco","",""
"id-1b5666061ef04b73bda26c8ecd94e92a","BusinessActor","Klijent","",""
"id-f9afd3ef795f47b18d2eb4d92bc408fd","BusinessActor","OPG","",""
"id-3d78cc2ce5944e8e8113b22829c63d89","BusinessActor","Vlasnik OPG-a","",""
"id-e90139664b744584895582986b7e0c22","BusinessEvent","Zahtjev za narudžbu hrane","",""
"id-bbed6fcc52fd4f94b6e2d3ce90fb853b","BusinessEvent","Zahtjev za otkaz narudžbe","",""
"id-9f4e7176ef73449cb722f87b5ed7ff3d","BusinessEvent","Zahtjev za promjenu detalja narudžbe","",""
"id-ca3839b9eb8441889ee59bbc53686765","BusinessInterface","Telefon","",""
"id-5e6a1c5b44f04f119f6acb3e1249e59d","BusinessInterface","Web-stranica","",""
"id-ec25d2205f7444e3be160c34d57b7905","BusinessProcess","Kreiranje narudžbe","",""
"id-34e114a111774701b8e6fbc2e317b525","BusinessProcess","Obrada otkaza narudžbe","",""
"id-dffdd045b6b9439ca40a397f55e7f4e7","BusinessProcess","Obrada promjene detalja narudžbe","",""
"id-0fd5e7345d6d4602b1066e3207f7f892","BusinessProcess","Odabir mjesta dostave","",""
"id-61a202a92bc94105bb1f77e7c0e4cb07","BusinessProcess","Odabir vremena dostave","",""
"id-c0765e9780a94421b25f23d282e4ccee","BusinessProcess","Odabir vrste proizvoda","",""
"id-034d36dd74a34281bfd1b9a32793d661","BusinessProcess","Odobravanje narudžbe","",""
"id-e8884b88211e45fbbe5e2fb95b8dfc1e","BusinessProcess","Pregled zahtjeva za promjenom","",""
"id-a3512db0d08e48dead855821cb7077a1","BusinessProcess","Promjena mjesta dostave","",""
"id-2af560dd6b9440b7a90736027e5ef006","BusinessProcess","Promjena vremena dostave","",""
"id-a5fd21647ea34706a028a68a9843cea2","BusinessProcess","Promjena vrste proizvoda","",""
"id-3bc0cd277e02494db1bb16843b0c579b","BusinessRole","Agent za podršku","",""
"id-bff6e47eb7ae4d608e79d74623fd6d50","BusinessRole","Dostavljač","",""
"id-d52d1dac5f914ec7977348cebaf5e47f","BusinessRole","Telefonska podrška","",""
"id-551157f03ea94c85afff2b77c96dc34c","BusinessRole","Valfresco sustav narudžbi","",""
"id-1734aa87f28c44bca6584a15c52a78d5","BusinessService","Business Service","",""
"id-a824240e7b46409fb3896378a38d533a","BusinessService","Dostava gotove hrane","",""
"id-6f14a8e3c5ed4f4a8ed3b145e6fd1cd0","BusinessService","Dostava namirnica","",""
"id-d8c7a985425c4f20a72ed6ee98d4e614","BusinessService","Dovoz gotove hrane iz centralne kuhinje","",""
"id-9ce7c6256385487fac239bfd344b60b6","BusinessService","Dovoz proizvoda kupljenih od OPG-a","",""
"id-ee885f71de194803b1bca462c4c418b0","BusinessService","Logistički odjel","",""
"id-2f13216038a9402596dfeae9000efee9","BusinessService","Ostali upiti","",""
"id-0e9b6a0f4318439dbaffdded5c3a082b","BusinessService","Ostali upiti","",""
"id-e77e48505b684f60995793353a6e0a96","BusinessService","Otkaz narudžbe","",""
"id-74d094cb84f24b7da29cef5f288f4afc","BusinessService","Pomoć pri naručivanju","",""
"id-5eef06a27bd0468ca9a74c2ecbb0de40","BusinessService","Pomoć pri naručivanju","",""
"id-7390ec8137384c44b59ed080b2368b0d","BusinessService","Potvrda narudžbe","",""
"id-fe4fe3eddc994a0b96a43259501de4d3","BusinessService","Pritužbe","",""
"id-95f87edf604b473a94e0975f4c0b29ea","BusinessService","Pritužbe","",""
"id-871b0f569c2947dba38a043fefb5f052","BusinessService","Problemi s narudžbom","",""
"id-8f6716ecf6c74f13a6f07e881cca04eb","BusinessService","Problemi s narudžbom","",""
"id-59267cbf7a234af1bbf4ddb8a560a0a2","BusinessService","Promjena detalja narudžbe","",""
"id-4811ed8d65af441ebacc1a26440b23ff","BusinessService","Služba za korisnike","",""
"id-f470a81af52e475a92131596869ea489","BusinessService","Služba za korisnike","",""
"id-5dc0814d1fbc4f5989d37a8db38aade8","Contract","Narudžba","",""
"id-eee28530896d4fb386ea1ae55cf45ff8","Product","Gotova hrana","",""
"id-9f84e3c24d5047d992c72447cf99c02b","Product","Namirnice","",""
"id-84f05afd160d4eca9f05102c0ff47699","Junction","Junction","",""
