"ID","Type","Name","Documentation","Specialization"
"i5_91116","ArchimateModel","Palvelusetelin ja maksusitoumuksen käsitemalli [Käsitemalli]","",""
"i5_84228","BusinessActor","Ammattihenkilö","Henkilö, jolla on työtehtävien suorittamiseen vaadittava koulutuksellinen tai työssä hankittu pätevyys",""
"i5_84272","BusinessActor","Asiakas","Toimija, joka hankkii tai saa palveluja tai hankkii tuotteita. Suomeksi sekä sosiaalihuollon että terveydenhuollon asiakkaita kutsutaan asiakkaiksi ja potilaat ovat terveydenhuollon asiakkaita.",""
"i5_84174","BusinessActor","Hyvinvointialue","Itsehallinnollinen julkisyhteisö, jolla on vastuu julkisesti rahoitetun sosiaali- ja terveydenhuollon sekä pelastustoimen järjestämisestä omalla toiminta-alueellaan.",""
"i5_84326","BusinessActor","Sosiaali- ja terveyspalvelujen tuottaja","Toimija, joka saa aikaan sosiaalipalveluja, terveyspalveluja tai sosiaali- ja terveydenhuollon yhteisiä palveluja joko toimimalla itse sosiaali- ja terveyspalvelujen toteuttajana tai tilaamalla ne muulta palveluntoteuttajalta. Sosiaali- ja terveyspalvelujen tuottajat voivat olla julkisia tai yksityisiä toimijoita, esimerkiksi yrityksiä, yhdistyksiä, osuuskuntia, säätiöitä ja yksityisiä elinkeinonharjoittajia.",""
"i5_84380","BusinessActor","Terveyden- tai sosiaalihuollon ammattihenkilö","",""
"i5_90169","BusinessObject","ADT-A28 Lisää henkilön tietoja","Käytetään siirtämään mitä tahansa tietoja henkilöstä tiedetään",""
"i5_90193","BusinessObject","ADT-A31 Päivitä henkilön tietoja","",""
"i5_90073","BusinessObject","ADT-A39 Yhdistä henkilö - ulkoinen tunniste","ADT (A39) (merge person - external ID) lähetetään sen jälkeen, kun henkilön/potilaan kahteen kertaan kirjatut perustiedot yhdistetään. ",""
"i5_89439","BusinessObject","ADT-A46 Muuta ulkoinen henkilötunniste","",""
"i5_89585","BusinessObject","ADT-A47 Muuta potilastunniste","Potilaan virheellinen tunniste  PID-3 on muutettu oikeaksi. ",""
"i5_91207","BusinessObject","Ammattihenkilö","Ammattihenkilöllä tarkoitetaan henkilöä, jolla on työtehtävien suorittamiseen vaadittava koulutuksellinen tai työssä hankittu pätevyys. Sosiaalihuollon palveluprosessin näkökulmasta ammattihenkilö ajatellaan toimijana, joka osallistuu sosiaalihuollon palveluprosessiin ammattinsa puolesta. Ks. myös yksityishenkilö. Esimerkiksi sosiaalihuollon ammattihenkilöiltä vaaditaan yleensä tiettyihin työtehtäviin tiettyä koulutusta, ja kelpoisuudesta sosiaalihuollon ammatillisiin tehtäviin säädetään lainsäädännössä.",""
"i5_91711","BusinessObject","Apuväline","Apuvälineellä tarkoitetaan välinettä, joka tukee toimintarajoitteisen henkilön selviytymistä erilaisissa toiminnoissa.",""
"i5_90215","BusinessObject","Apuvälineiden tiliöintitiedot","Apuvälineiden tiliöintitiedot ostopalveluiden ja apuvälineiden hallinnan järjestelmästä.",""
"i5_91231","BusinessObject","Asiakas","Toimija, joka hankkii tai saa palveluja tai hankkii tuotteita. Suomeksi sekä sosiaalihuollon että terveydenhuollon asiakkaita kutsutaan asiakkaiksi ja potilaat ovat terveydenhuollon asiakkaita.",""
"i5_89767","BusinessObject","Asiakas/potilastieto","Kuvaa tunnistettua tai tunnistettavissa olevaa luonnollista henkilöä",""
"i5_91255","BusinessObject","Asiakastieto","Sosiaali- tai terveydenhuollon asiakasta koskeva henkilötieto, joka on sosiaali- tai terveydenhuollon palvelunantajan hallinnoima",""
"i5_90121","BusinessObject","Henkilötiedot-kysely QRY-A19","QRY/A19 lähetetään, kun jokin toinen järjestelmä haluaa potilaan tietoja potilastietojärjestelmästä. Kyselyn määrittelyssä QRD määritellään minkä tunnisteen perusteella tietoja haetaan. Tunniste voi olla esim. potilastunniste tai laskutusjakson numero. Jos kysely tehdään hyvin yleisellä tasolla, voi vastaukseen liittyä hyvinkin paljon tietoja. Vastauksien toteutuksesta pitääkin sopia paikallisesti.",""
"i5_90145","BusinessObject","Henkilötiedot-vastaus ADR-A19","ADT (A19) (patient query) liipasin poikkeaa muista ADT-perheen sanomista. Kaikki muut ADT-perheen sanomat ovat päivityssanomia, jotka kuitataan ACK-kuittaussanomalla. A19 liipasimessa sen sijaan tehdään kysely QRY-kyselysanomalla ja siihen vastataan ADR-vastaussanomalla. Sekä QRY- että ADR-sanoma on kuvattu alla.",""
"i5_91279","BusinessObject","Henkilötieto","Tieto joka kuvaa tunnistettua tai tunnistettavissa olevaa luonnollista henkilöä",""
"i5_91303","BusinessObject","Hyvinvointialue","Itsehallinnollinen julkisyhteisö, jolla on vastuu julkisesti rahoitetun sosiaali- ja terveydenhuollon sekä pelastustoimen järjestämisestä omalla toiminta-alueellaan.",""
"i5_91135","BusinessObject","Hyvinvointialuekonsernitoimijan palvelutuotanto","Hyvinvointialueen järjestämisvastuulle kuuluvavat palvelut.",""
"i5_91327","BusinessObject","Hyvinvointitieto","Kansalaisen terveyttä ja hyvinvointia koskeva henkilötieto, joka on kansalaisen tuottama ja hallinnoima ja joka ei sisälly asiakastietoihin",""
"i5_89281","BusinessObject","Kertakirjautumistieto","Tiedot joilla käyttäjä pääsee tunnistautumisella pääsynvalvonnan piirissä oleviin palveluihin ja resursseihin käyttövaltuuksiensa puitteissa",""
"i5_89811","BusinessObject","Kustannustiedot","Ostopalvelupäätöksiin liittyvät kustannustiedot",""
"i5_89511","BusinessObject","Käyttäjätieto","Käyttäjätietokysely AD:hen",""
"i5_89713","BusinessObject","Laskusanoma pakolliset tiedot","Verkkolaskun lähettäjän on käytettävä kansallisista kuvauksista Finvoice 3.0 tai TEAPPSXML 3.0 versiota tai EU standardissa (EN 16931-1:2017) määriteltyjä syntakseja ISO/IEC 19845 (UBL 2.1) ja UN/CEFACT XML Cross Industry Invoice D16B standardin sisältämän ohjeistuksen mukaisesti.",""
"i5_89345","BusinessObject","Laskutustiedot","Laskutussanomat ostopalveluista. Finvoice tai TEAPPSXML 3.0. Arvonlisäverolain määrittelemät tiedot pakollisina. ",""
"i5_91159","BusinessObject","Maksusitoumuksen asiakasmaksu","Asiakkaan maksettavaksi jäävä osuus maksusitoumuksella hankitun palvelun hinnasta.",""
"i5_89115","BusinessObject","maksusitoumus","Sosmetan tietorakenteen kuvaus. Sosiaalihuollon asiakasasiakirja, jolla palvelunjärjestäjä antamansa päätöksen perusteella sitoutuu maksamaan sosiaalihuollon asiakkaalle annettavan tuotteen tai palvelun kustannukset tai osan niistä",""
"i5_91687","BusinessObject","Maksusitoumus","Maksusitoumuksella tarkoitetaan sosiaalihuollon asiakasasiakirjaa, jolla palvelunjärjestäjä antamansa päätöksen perusteella sitoutuu maksamaan sosiaalihuollon asiakkaalle annettavan tuotteen tai palvelun kustannukset tai osan niistä. Maksusitoumuksia ovat esimerkiksi täydentävän tai ehkäisevän toimeentulotuen maksusitoumus ja palveluseteli.",""
"i5_90263","BusinessObject","Ostolasku","Finvoice tai TEAPPSXML sanomarakenteen mukainen",""
"i5_91351","BusinessObject","Ostolasku","Lain mukaan sähköinen laskulla tarkoitetaan laskua, joka on laadittu ja vastaanotettu rakenteisessa sähköisessä muodossa ja se noudattaa sähköisen laskutuksen eurooppalaista standardia EN16931.  Valtio vastaanottaa 1.4.2020 alkaen vain verkkolaskuja ja niiden pitää täyttää eurooppalaisen standardin ja julkishallinnon ohjeen vaatimukset.",""
"i5_91375","BusinessObject","Ostopalvelu","Palvelu, jonka palvelunjärjestäjä hankkii korvausta vastaan oman organisaationsa ulkopuoliselta palveluntuottajalta",""
"i5_90097","BusinessObject","Ostopalveluiden raportointitiedot","Ostopalvelupäätöksiin liittyvät raportointitiedot, kuten asiakastiedot, suoritustiedot ja kustannustiedot",""
"i5_90003","BusinessObject","Ostopalvelun hoitopalaute","Lausunto, jonka terveydenhuollon ammattihenkilö laatii potilaan tutkimuksesta, hoidosta ja jatkohoito-ohjeista hoitojakson päätyttyä. Hoitopalaute on koostettu potilaan yhdestä tai useammasta kertomusmerkinnästä.",""
"i5_90239","BusinessObject","Ostopalvelupäätös","Palveluseteli- tai maksusitoumuspäätös",""
"i5_91735","BusinessObject","Ostopalvelutapahtuma","Asiakkaan saaman ostopalvelun sisältävä järjestämisen tai toteuttamisen yksittäinen palvelutapahtuma.",""
"i5_89939","BusinessObject","Palkkiot","csv-siirtotiedosto jossa hetu, eurot, kappaleet, palkkalaji",""
"i5_91399","BusinessObject","Palvelu","Organisoidun toiminnan tuloksena syntyvä aineeton hyödyke tarpeiden tyydyttämiseksi",""
"i5_91423","BusinessObject","Palvelunantaja","Toimija, joka järjestää, tuottaa tai toteuttaa sosiaalipalveluja, terveyspalveluja tai sosiaali- ja terveydenhuollon yhteisiä palveluja",""
"i5_91447","BusinessObject","Palvelunjärjestäjä","Palvelunjärjestäjällä tarkoitetaan palvelunantajaa, jolla on sosiaalipalvelun järjestämisvastuu. Julkinen sosiaalipalvelujen järjestäjä vastaa hallinnollisesti sosiaalihuollon asiakkaalle päätöksen perusteella myönnettyjen sosiaalipalvelujen toteutumisesta ja niihin liittyvistä kustannuksista. Yksityisen sosiaalipalvelujen järjestäjän järjestämisvastuu perustuu asiakkaan kanssa tehtyyn sopimukseen. Julkinen sosiaalipalvelujen järjestäjä on kunta, kuntayhtymä tai valtio. Palvelunjärjestäjäorganisaatio voi toimia myös palveluntuottajana.",""
"i5_91471","BusinessObject","Palveluntoteuttaja","Palveluntoteuttajalla tarkoitetaan palvelunantajaa, joka käytännössä antaa sovitut sosiaalipalvelut, terveyspalvelut tai sosiaali- ja terveydenhuollon yhteiset palvelut asiakkaalle. Palveluntoteuttaja vastaa palveluihin liittyvien asiakastietojen kirjaamisesta. Sama taho voi toimia sekä palvelunjärjestäjänä, -tuottajana että -toteuttajana.",""
"i5_91495","BusinessObject","Palveluntuottaja","Palveluntuottajalla tarkoitetaan palvelunantajaa, joka saa aikaan sosiaalipalveluja, terveyspalveluja tai sosiaali- ja terveydenhuollon yhteisiä palveluja joko toimimalla itse palveluntoteuttajana tai tilaamalla ne alihankintana muulta palveluntoteuttajalta. Palveluntuottaja voi olla esimerkiksi yhtiö, yhteisö, ammatinharjoittaja tai yksityishenkilö. Sama taho voi toimia sekä palvelunjärjestäjänä, -tuottajana että -toteuttajana.",""
"i5_89659","BusinessObject","Palveluseteli","Kuvaus sosmeta:n tietorakenteista: Palvelusetelillä tarkoitetaan palvelunjärjestäjän asiakkaalle myöntämää maksusitoumusta, jonka perusteella palvelunjärjestäjä maksaa asiakkaan yksityiseltä palveluntuottajalta hankkiman palvelun kustannukset ennalta määrättyyn arvoon asti. https://sosmeta.thl.fi/data-components/783cfd5a-5eb9-4652-b3a0-c1be806697fe/definition",""
"i5_91519","BusinessObject","Palveluseteli","Palvelusetelillä tarkoitetaan palvelunjärjestäjän asiakkaalle myöntämää maksusitoumusta, jonka perusteella palvelunjärjestäjä maksaa asiakkaan yksityiseltä palveluntuottajalta hankkiman palvelun kustannukset ennalta määrättyyn arvoon asti. Asiakas voi kieltäytyä palvelusetelin vastaanottamisesta, jolloin palvelunjärjestäjän on ohjattava hänet muilla tavoin järjestettävien palvelujen piiriin. Palveluseteli voidaan myöntää lähes kaikkiin sosiaalipalveluihin. Asiakas valitsee itse kunnan hyväksymien palveluntuottajien joukosta sen, jolta hankkii palvelusetelillä kustannettavan palvelun tai apuvälineen.",""
"i5_91183","BusinessObject","Palvelusetelin omavastuuosuus","Asiakkaan maksettavaksi jäävä osuus palvelusetelillä hankitun palvelun hinnasta",""
"i5_91543","BusinessObject","Palvelutarpeen arvio","Palvelutarpeen arviolla tarkoitetaan asiakkaan ja palvelunjärjestäjän pääsääntöisesti yhdessä tekemää arviota asiakkaan tilanteesta sekä palvelujen ja erityisen tuen tarpeesta. Palvelutarpeen arvio tulee pääsääntöisesti laatia yhdessä asiakkaan kanssa sekä mahdollisesti hänen läheistensä kanssa. Palvelutarpeen arvion laatimiseen voivat osallistua myös tarvittavat asiantuntijat.",""
"i5_91567","BusinessObject","Palvelutarve","Asiakkaan todettu tarve saada sellaisia palveluja, jotka asiantuntijan tai ammattihenkilön arvion mukaan tukevat asiakasta",""
