"ID","Type","Name","Documentation","Specialization"
"id-c874bd6f-c66d-4b19-82bb-909e4f300ead","ArchimateModel","Archi Banking Group Case","",""
"id-27252","Capability","Account Reconciliation","Example of use: 
A scheduled reconciliation task is performed for the nostro/vostro accounts and discrepancies identified and resolved 
General comment: 
This service domain provides a general service of account reconciliation between two or more target accounts. Reconciliations can be for journal and ledger type accounts. A common implementation would be in the area of Nostro/Vostro account management.",""
"id-28137","Capability","Account Recovery","Example of use:
A non-performing customer account is handed over for recovery after the normal relationship management efforts have failed. Additional authority is provided to renegotiate/structure the account to enable the customer to attempt recovery. This restructuring can result in write downs that need to be booked appropriately
General comment:
Handles the recovery of distressed accounts that have exceeded standard late/payment handling but have not yet been fully written off and passed to collections. The restructuring can involve partial write downs and leveraging any tax or other program of assistance that can be applied. The situation is managed until the account is recovered or a decision made to pass the account over to collections",""
"id-26875","Capability","Accounts Receivable","Example of use:
A business unit tracks the expected client payments invoiced for fulfilled products and services
General comment:
The service domain defines a accounts receivable handling capability. The accounts receivable activity may be distributed across different regions and lines of business. Non payments ay result in customer accounts being put in recovery or collections.",""
"id-26798","Capability","ACH Fulfillment","Example of use:
A payment is made between two customers of different banks. The payment is processed via an automated clearing house.
General comment:",""
"id-95741","Capability","ACH Fulfiment","",""
"id-27140","Capability","Advanced Voice Services Management","Example of use:
A dynamic reconfiguration is made to the service selection menu to encourage high value customers to by-pass the voice response unit and go straight to a specialist service representative
General comment:
This function administers the call dialogue and rules for the PBX channel, including voice and IVR devices. This capability can be dynamically adjusted under high load conditions",""
"id-28119","Capability","Advanced Voice Services Operations","Example of use:
The numeric menu is adjusted to increase self serve activity during a period of peak loading (this could be implemented in the IVR in a more sophisticated set-up
General comment:
This is the operating schedule for the PBX/telephony infrastructure which can include embedded IVR capabilities. The PBX system will have close integration with the call center and E-Branch capabilities depending on the degree of computer telephony integration (CTI) and cross channel support",""
"id-28094","Capability","Advertising","Example of use:
A bank determines the required level of advertizing, based on a competitive market assessment and then develops a plan for targeted advertizing to support other business development activities
General comment:
Advertising budgets and associated advertizing activities are influenced by a broad range of internal and external factors. This Service Domain supports simple consolidated design where advertizing needs, actions and assessments are handled by a single business capability. A more sophisticated approach may be required in larger or highly market sensitive enterprises.",""
"id-28074","Capability","Approved Supplier Directory","Example of use:
Work is matched to the approved supplier list and candidates put forward for selection. Delivery performance is reviewed to update the ratings of the suppliers for later assessment and selection purposes
General comment:
This service domain handles the selection and evaluation of contractors and suppliers. Note the supplier agreement and service execution itself is handled by a separate service domain (Contractor/Supplier Agreement)",""
"id-121247","Capability","Architecture Capability","",""
"id-27021","Capability","Archive Services","Example of use:
Infrequently accessed documents are archived to lower cost storage in compliance with banking regulations
General comment:
This service domain operates a physical and electronic long term archiving capability that backs up Document Services",""
"id-27512","Capability","Asset & Liability Management","Example of use:
The bank's Asset & Liability committee meets regularly to refine the financial policies governing the asset and liability position of the bank and to review major pending deals
General comment:
This service domain recognizes that most banks will operate a senior policy and governance function to oversee the bank's overall asset and liability make-up and direct activity, allocate capital and define polices to ensure the bank remains within its desired profile. As a senior management team it will rely on analysis and reports",""
"id-27154","Capability","Asset Securitization","Example of use:
The bank's Group Treasury unit will usually determine and initiate the securitization of a pool of market assets
General comment:
This central financial function interprets bank portfolio/asset and liability policies and reviews the bank's book of market assets that are eligible for securitization to determine whether their securitization can improve the quality or performance of the bank. The securitization of the selected market assets is initiated. Note that the securitization and subsequent trading of market assets is a complex procedure involving several other service domains",""
"id-26985","Capability","ATM Network Management","Example of use:
A new set of standalone ATM's is installed at an airport and configured with limited services to ensure high availability for cash dispensing
General comment:
This function determines and manages the product/service availability across the ATM network and coordinates secure access administration for customers",""
"id-27145","Capability","ATM Network Operations","Example of use:
ATM devices are brought on and off line as device errors are reported (such as out of cash/paper)
General comment:
This handles the operating schedule for the ATM network, including device failure and recovery. It interacts with the service domain Branch Currency Distribution that is responsible for the movement of cash between branches/ATMs and central holding. The ATM network is a high availability/security 24/7 facility",""
"id-27480","Capability","Bank Drafts & Travelers Checks","Example of use:
A customer acquires a number of travelers checks
General comment:
This service domain administers the issuance of bank drafts and travelers checks, including the procedures necessary to coordinate with fulfillment activities to deal with lost or stolen items and re-issuance.",""
"id-28228","Capability","Bank Guarantee","Example of use:
A bank guarantee is provided to a corporate client to cover international trade finance deal
General comment:
This service domain handles the issuance of bank guarantees most typically associated with trade finance business, but also potentially for other structured financial arrangements such as project financing.",""
"id-26981","Capability","Bank Portfolio Administration","Example of use:
The consolidated view of bank activity covering its asset and liability activity is assembled and ratified for analysis
General comment:
This service domain is responsible for the collation of summary business activity detail across all segments of operation as necessary to provide the base information to support the bank portfolio analysis undertaken by the associated Bank Portfolio Analysis service domain",""
"id-27573","Capability","Bank Portfolio Analysis","Example of use:
A financial analysis of the bank's consolidated activity is assembled for consideration by the bank's asset and liability policy unit
General comment:
This service domain handles the analysis of the overall 'book of business' for the bank. It assesses the bank's position and associated trends and sensitivities along dimensions including, currency, geography, product segment, industry, credit grade, and customer segment. Analysis supports asset and liability policy making and the more general tracking of business performance to plan across all segments.",""
"id-27697","Capability","Branch Currency Distribution","Example of use:
Based on a request from Branch Currency Distribution, a scheduled dispatch and recovery of cash is scheduled and executed across the branch network
General comment:
This administers the secure distribution cash inventory across the branch network from central vault and storage facilities in response to branch requests and compliant with inventory holding policies",""
"id-28340","Capability","Branch Currency Management","Example of use:
A daily projection of the required float for a branch and associated ATMs is compared to cash on hand and an adjustment arranged through distribution operations
General comment:
This function tracks the allocation of domestic and foreign currency holdings (and all other legal tender such as travelers checks) to branch and/or ATM locations. It oversees item movements to/from teller/ATM stations and secure storage during operations. It also determines and initiates required item distribution to maintain suitable cash floats as necessary",""
"id-27937","Capability","Branch Location Management","Example of use:
A reporting cycle for a bank branch location
General comment:
This handles the management and oversight of a branch location - including any local decision making, troubleshooting, planning and performance assurance and reporting",""
"id-27660","Capability","Branch Location Operations","Example of use:
A day in the life of a busy branch where all managers and tellers are not available and cash and product inventory reserves fall low
General comment:
This is the day to day administration of the branch resources, assigning tasks and positions to the available staff, tracking the teller floats and making the necessary adjustments to task assignments as customer volumes vary",""
"id-28077","Capability","Branch Network Management","Example of use:
The branch network is re-configured to accommodate a new or amended product that is targeting a specific customer segment (e.g. student loans at on campus branches)
General comment:
This function handles the determination of the products and services to be made available across the branch network (including ATM capabilities). This includes the standard branch layout design/look and feel and all relevant procedures to be in force across.",""
"id-27657","Capability","Branch Portfolio","Example of use:
Business strategists assemble and review the distribution and relative product performance across the network and adjust the allocation accordingly
General comment:
This service domain assesses the coverage and performance of the overall branch network. It is used to ensure good branch coverage, to identify (and learn from) high and low performing branch behaviors and to ensure the products are well matched to the specific demographics/environment of individual branches",""
"id-27428","Capability","Brand Management","Example of use:
A security attack results in a confidentiality breach of sensitive client account data. A series of tasks are set in motion to minimize brand damage
General comment:
This is a specialized business function involving specialist advisory activities with limited scope for application based (A to A) service operation interactions. It is included in the model for completeness and consistency",""
"id-27730","Capability","Brokered Product","Example of use:
Access to insurance brokers for branch customer is administered by teller and relationship management personnel
General comment:
This service domain provides the day to day oversight and coordination of 3rd party product delivery. Orchestrating the involvement and activities with the 3rd party product/service supplier as necessary and troubleshooting issues as they arise. This activity is governed by 3rd party agreements. This simple capability supports basic brokerage product service/product support through any appropriate channel. Note that some financial institutions will incorporate complex and extensive brokerage activity for which a more sophisticated collection of service domains might be required",""
"id-27650","Capability","Building Maintenance","Example of use:
Building and repair work is scheduled and undertaken using contractors at a bank branch location
General comment:
This service domain administers the building maintenance resources, handling site repairs and scheduling regular site maintenance and refurbishment activity.",""
"id-27347","Capability","Business Architecture","Example of use:
Specialist business architects define the target state business architecture and migration/ transition goals and plans
General comment:
This service domain handles the specification and maintenance of the enterprise business architecture. This reflects the business priorities set out in the corporate strategy and the organization as defined in the organizational model. It provides a basis for defining performance goals and budgets and can be a high level blueprint for systems and operational implementation (The BIAN model supports this activity directly)",""
"id-36728","Capability","Business Capability","A business capability is a particular ability or capacity that a business may possess or exchange to achieve a specific purpose or outcome.
Critically, a business capability delineates WHAT a business does without attempting to explain how, why, or where the business uses the capability. 

Business Capabilities are defined at different levels of aggregation. A Business Capability can be aggregated with one and only one more coarse grained business capability at a time.",""
"id-27555","Capability","Business Development","Example of use:
Senior management compare the competitive performance and market opportunities and development options to define and refine a collection of business development initiatives in the business development plan
General comment:
This represents a senior business management activity for business development that will have limited application (A to A) service activity and is included for model completeness and consistency",""
"id-91129","Capability","Business Domain","A BusinessDomain is an element of the functional decomposition of the banking business functions in the context of the Service Landscape. Business Domains are linked to certain skills and knowledge, which are clearly identifiable in the banking business. 
Comments
o    A BusinessDomain belongs to exactly one BIANBusinessArea
o    BusinessDomains are part of the Service Landscape",""
"id-27100","Capability","Business Risk Models","Example of use:
Financial engineers develop and deploy a collection of business risk models that can run against different failure scenarios to assess exposure and determine mitigation needs
General comment:
This service domain covers the development and maintenance of a portfolio of business risk analytical model that are used across the bank to estimate the bank's exposure to different business failure scenarios",""
"id-27833","Capability","Business Unit Accounting","Example of use:
Business unit expenses, profits and losses are tracked on a journal (and periodically posted to the associated sub ledger) for accounting purposes
General comment:
This service domain administers the business unit accounting journal, reconciling accounting entries as necessary a reporting consolidated financial reports to the enterprise general ledger (sub-ledger) as required",""
"id-27967","Capability","Business Unit Direction","Example of use:
Business unit management direct business unit resources to meet the operating plan commitments
General comment:
This service domain is repeated for business units as part of the 'command and control' structure. It handles the day to day operational activity of the unit, defining scheduled and ad hoc tasks as the basis for organizing activity within the unit",""
