"ID","Type","Name","Documentation","Specialization"
"_ELXbYDy6Eeyo8oS76GR6Gg","ArchimateModel","PRUEBA.03.10.21","",""
"_pokl8B7oEDqwIfxY5erVwQ","WorkPackage","Adquisición","",""
"_gLG-QB7uEDqwIfxY5erVwQ","WorkPackage","Almacenaje","",""
"_8TlE0B7uEDqwIfxY5erVwQ","WorkPackage","CalidadProtecciónSeguridadTrazabilidad","",""
"_4SjxUB7sEDqwIfxY5erVwQ","WorkPackage","Costo, calidad y criterios de cronograma para la selección de proveedoresControl de calidad y pruebas de pureza e identidad.Pesaje y estadificación de materias primas en planta","",""
"_F-Bw4B7vEDqwIfxY5erVwQ","WorkPackage","De los distribuidores primarios a los distribuidores secundarios o almacenes.","",""
"_bRHJcB7uEDqwIfxY5erVwQ","WorkPackage","Distribución","",""
"_kYfzcB7oEDqwIfxY5erVwQ","WorkPackage","Endomarketing","",""
"_jHNKsB7oEDqwIfxY5erVwQ","WorkPackage","Estrategia tecnológica","",""
"_uiiW0B7uEDqwIfxY5erVwQ","WorkPackage","Gestión de almacén para cumplir:","",""
"_TymJcB7uEDqwIfxY5erVwQ","WorkPackage","I & DDe ingrediente farmacéutico activo (API)FormulaciónContrato","",""
"_UPtGwB7vEDqwIfxY5erVwQ","WorkPackage","Logística en la cadena de suministros","",""
"_NHj00B7uEDqwIfxY5erVwQ","WorkPackage","Lote/producción continua","",""
"_n-r3AB7oEDqwIfxY5erVwQ","WorkPackage","Manufactura","",""
"_c2TNUB7oEDqwIfxY5erVwQ","WorkPackage","Modelo de cumplimiento","",""
"_IizssB7tEDqwIfxY5erVwQ","WorkPackage","Producción","",""
"_tBdloB7uEDqwIfxY5erVwQ","WorkPackage","Productos por insourcing o outsourcing a los distribuidores primarios","",""
"_fLp28B7vEDqwIfxY5erVwQ","WorkPackage","ProtecciónSeguridadEficiencia","",""
"_JqhtQB7uEDqwIfxY5erVwQ","WorkPackage","Tipos de plantas manufactureras:","",""
"_hz9LYB7uEDqwIfxY5erVwQ","WorkPackage","Transportación","",""
