"ID","Type","Name","Documentation","Specialization"
"_eTl1AO3fEeqygJczXaaxEQ","ArchimateModel","Verification and validation","",""
"_Sq81QNAPEDifeLS5idCyrg","BusinessFunction","","",""
"_O2sggNAPEDifeLS5idCyrg","BusinessFunction","Испытания","",""
"_6zXVENAOEDifeLS5idCyrg","BusinessFunction","Нормоконтроль","",""
"_9DRiMNAOEDifeLS5idCyrg","BusinessFunction","Проверка требования","",""
"_RTIjMNAOEDifeLS5idCyrg","BusinessObject","Готовое изделие","",""
"_ONrOINAOEDifeLS5idCyrg","BusinessObject","Документация","",""
"_VSSgYNAOEDifeLS5idCyrg","BusinessObject","Задача на разработку ПО","",""
"_TdwAoNAOEDifeLS5idCyrg","BusinessObject","Интегрированная I&C","",""
"_PbiIYNAOEDifeLS5idCyrg","BusinessObject","Исходный код","",""
"_jUDK8NAOEDifeLS5idCyrg","BusinessObject","Исходный код","",""
"_PMsbINAOEDifeLS5idCyrg","BusinessObject","Программная сборка","",""
"_cICQMNAOEDifeLS5idCyrg","BusinessObject","Спецификация (объем поставки) I&C/ оборудования/ ПО","",""
"_XCMXwNAOEDifeLS5idCyrg","BusinessObject","Техническое задание на систему/оборудование/ПО","",""
"_QFkj4NAOEDifeLS5idCyrg","BusinessObject","Требования","",""
"_CPVz4NAOEDifeLS5idCyrg","Product","Hardware","",""
"_BN0FcNAOEDifeLS5idCyrg","Product","I&C","",""
"_DTXcsNAOEDifeLS5idCyrg","Product","Software","",""
"_x4SQcNAOEDifeLS5idCyrg","Grouping","Validation","",""
"_5CZGsNAOEDifeLS5idCyrg","Grouping","Verification","",""
"_E_b88NAOEDifeLS5idCyrg","Grouping","Объекты V&V","",""
"_Lm1HsNAOEDifeLS5idCyrg","Grouping","Элементы V&V","",""
