"ID","Type","Name","Documentation","Specialization"
"8b8a004b","ArchimateModel","baseline_applications","",""
"854c6365","BusinessActor","Business Actor","",""
"4640dc6d","BusinessActor","Business Actor","",""
"bc178d61","BusinessActor","Call Center Operator","",""
"35074d60","BusinessActor","Call Centre","",""
"4d1d78d0","BusinessActor","Construction Team","",""
"36819c22","BusinessActor","Customer","",""
"2eb7635b","BusinessActor","Customer","",""
"a657e20f","BusinessActor","Customer","",""
"a0855d8c","BusinessActor","Customer","",""
"181361a1","BusinessActor","Customer (copy)","",""
"3d10532d","BusinessActor","Customer Care","",""
"6a08a9ca","BusinessActor","Customer Service","",""
"1e94d88a","BusinessActor","Customer Service","",""
"eee9ee52","BusinessActor","Customer Service Agents","",""
"45a57daf","BusinessActor","Customer Service Manager","",""
"1f85ee70","BusinessActor","Engineer","",""
"2e8c2bbe","BusinessActor","NHBC","",""
"b96a0e45","BusinessActor","NHBC Liason","",""
"9cc78d70","BusinessActor","On Site","",""
"9b4bc5d4","BusinessActor","Phase Manager","",""
"3e31f4f4","BusinessActor","Phase Managers","",""
"244952a4","BusinessActor","Phase Managers","",""
"3ad5fb66","BusinessActor","Regional Manager","",""
"4146115d","BusinessActor","Sales","",""
"7868185b","BusinessActor","Sales","",""
"eaf39686","BusinessActor","Sales Team","",""
"ccbab994","BusinessActor","Site Team","",""
"99aacd15","BusinessActor","Swindom Office","",""
"90682112","BusinessActor","Veokia","",""
"d36dfb3e","BusinessActor","WDH","",""
"7884b422","BusinessActor","WDH","",""
"6766176c","BusinessActor","WDH","",""
"efcfabd4","BusinessActor","Work Men","",""
"5df7711b","BusinessActor","Workman","",""
"9af9fd45","BusinessActor","WORLD","",""
"ff84afdf","BusinessActor","Zero-Hour contractor","",""
"149f71e3","BusinessCollaboration","Business Collaboration","",""
"a5068342","BusinessCollaboration","House Visit","",""
"af13b20b","BusinessCollaboration","Phase Manager and Call Center","",""
"539999f6","BusinessCollaboration","Signing Off on Remedial Work","",""
"9505939f","BusinessInterface","Business Interface","",""
"5657560c","BusinessInterface","Business Interface","",""
"584d5666","BusinessInterface","Business Interface","",""
"9c3656b1","BusinessInterface","Business Interface","",""
"b93aa6c5","BusinessInterface","Communication Interface ???????","",""
"53167625","BusinessInterface","Database Interface","",""
"6dd5889d","BusinessInterface","Email","",""
"8cd43cc7","BusinessInterface","Face-to-face","",""
"dded037d","BusinessInterface","Face-to-face","",""
"1cea745f","BusinessInterface","Telephone","",""
"ea31d0b9","BusinessInterface","Telephone","",""
"ed96ffab","BusinessInterface","Telephone","",""
"8d3ac1f1","BusinessInterface","Telephone/Email","",""
"1fc2b111","BusinessObject","Suppliers","",""
"517edc92","BusinessProcess","Business Process","",""
"bc8b52c3","BusinessRole","Agent","",""
"4c9999a0","BusinessRole","Call Center","",""
"3c838344","BusinessRole","Customer","",""
"72d679c8","BusinessRole","Customer","",""
