"ID","Type","Name","Documentation","Specialization"
"0908a44c","ArchimateModel","2 Data Mapper","",""
"e7d66ee7","ApplicationComponent","class mapper 1","",""
"2e085e7b","ApplicationComponent","class mapper 2","",""
"5de2bdd5","ApplicationComponent","class mapper 3","",""
"7baa95da","ApplicationComponent","class type 1","",""
"da2a6f09","ApplicationComponent","class type 2","",""
"189a59dc","ApplicationComponent","class type 3","",""
"c5cd933c","ApplicationFunction","Create (parameters) (copy)","",""
"e9373258","ApplicationFunction","Create/insert (v_object)","",""
"184a757c","ApplicationFunction","Delete (id)","",""
"72fe3a6e","ApplicationFunction","Delete (id) (copy)","",""
"da749416","ApplicationFunction","factory (props)","",""
"00046fdd","ApplicationFunction","Find(parameters)","",""
"d33e9906","ApplicationFunction","Read(id)","",""
"8453d974","ApplicationFunction","some business logic function 1","",""
"6f2ce053","ApplicationFunction","some business logic function 1","",""
"7fe10f72","ApplicationFunction","some business logic function 2","",""
"d1114b5c","ApplicationFunction","some business logic function 2","",""
"d3a7df13","ApplicationFunction","STATIC Find(parameters) (copy)","",""
"19872d17","ApplicationFunction","STATIC load (some object) (copy)","",""
"92232283","ApplicationFunction","STATIC Read(id) (copy)","",""
"b81b94f0","ApplicationFunction","Update (parameters) (copy)","",""
"e84520c6","ApplicationFunction","Update (v_object)","",""
"9b456349","ApplicationProcess","call update","",""
"75caae50","ApplicationProcess","change some object some properties for update","",""
"19679544","ApplicationProcess","create obj and fill properties acording with input args","",""
"19ae4480","ApplicationProcess","create obj and fill properties acording with object input args (copy)","",""
"b0f14020","ApplicationProcess","find some data objects","",""
"515fb78f","ApplicationProcess","get id","",""
"850e065e","ApplicationProcess","get id (copy)","",""
"d6cfa4c8","ApplicationProcess","get props for use in insert (copy)","",""
"973a18d8","ApplicationProcess","get props for use in update (copy)","",""
"2e120739","ApplicationProcess","get props from v_object for use in update","",""
"22c81193","ApplicationProcess","return array of objects of type 'class mapper 1' (copy)","",""
"263968f6","ApplicationProcess","return array of objects of type 'class type 1'","",""
"8e24bc5e","ApplicationProcess","return created object of type 'class mapper 1' (copy)","",""
"d290d06f","ApplicationProcess","return created object of type 'class type 1'","",""
"0f761e9d","ApplicationProcess","return object of type 'class mapper 1' (copy)","",""
"60e93eae","ApplicationProcess","return object of type 'class type 1'","",""
"93739f92","ApplicationProcess","some business logic on object","",""
"17948724","ApplicationProcess","some process","",""
"e291094f","ApplicationProcess","SQL delete 1 row statement","",""
"c08797c8","ApplicationProcess","SQL delete 1 row statement (copy)","",""
"34c4da63","ApplicationProcess","SQL insert 1 empty row","",""
"a952f3f4","ApplicationProcess","SQL insert 1 row statement (copy)","",""
"f30d31bb","ApplicationProcess","SQL select 1 row statement","",""
"dd4a9ff2","ApplicationProcess","SQL select 1 row statement (copy)","",""
"be099318","ApplicationProcess","SQL select rows statement","",""
"6742fd63","ApplicationProcess","SQL select rows statement (copy)","",""
"876f39ce","ApplicationProcess","SQL update 1 row statement","",""
"9bd4771d","ApplicationProcess","SQL update 1 row statement (copy)","",""
"c1581c68","ApplicationProcess","update 1 object","",""
"1fd66188","DataObject","entity 1","",""
"91cc7e5e","DataObject","entity 2","",""
"9c451153","DataObject","entity 3","",""
"03d61fdf","DataObject","properties (corresponds to table columns)","",""
"d6654f01","DataObject","properties (corresponds to table columns)","",""
