"ID","Type","Name","Documentation","Specialization"
"id-964a1dbf303f4de7bf25bff1a66345a7","ArchimateModel","(new model)","",""
"id-097583def6b449919a9e95dca3356f77","BusinessActor","Client","",""
"id-86f8c6e974104e00bdc03ed30a87683e","BusinessProcess","Developper les bons de commandes et Livraison","",""
"id-0214bb60a90d44b48a06373637a79266","BusinessProcess","Enregistrement des commandes","",""
"id-7ccecf60005640c48b56ab0c729160fa","BusinessProcess","Enregistrement des commandes","",""
"id-fd8556dbde2a43c8b452cbd948a6d5d5","BusinessProcess","finance et comptabilité","",""
"id-cb8fe55ad0314cd2b7f59402729b8b2b","BusinessProcess","processus de la commande du client ","",""
"id-4d73b9c8df7c482ca238fb0ffeba700a","BusinessProcess","Suivi et confirmation des commandes","",""
"id-87196cfd583c4c6d93a959148ee261fb","BusinessService","","",""
"id-37c3a30ef04540188ff73e3e277bb86a","BusinessService","","",""
"id-71202812b2644f17a75c9edf53f7fcba","BusinessService","","",""
"id-05a5e59133d440ae8d7ce1bcb99a452e","BusinessService","Application Mobile AGRI","",""
"id-29209ccc92314523a8956c76bf8c3f7b","BusinessService","Confirmation de commande","",""
"id-c38b67a5aae7444397b4e46c7631f8ec","BusinessService","Distribution","",""
"id-145fb0c412bd41d699ad9441dc864b6b","BusinessService","Facturation","",""
"id-3d226cb39630499ca27020a078e15b85","BusinessService","Service Client","",""
"id-e41acdd2822c46118debd30255a0cf49","ApplicationComponent","Application de suivi des commandes clients","",""
"id-53ee5559175049fb8a4d5bdc2b5c1a48","ApplicationComponent","Applications CRM","",""
"id-c040e812b0264fbe8d083dd7519e8eab","ApplicationComponent","EAI Bus","",""
"id-ef1126316ddb4d2e847808a8641a6ab5","ApplicationService","EAI Bus","",""
