"ID","Type","Name","Documentation","Specialization"
"b573d635","ArchimateModel","Visitor","",""
"id-377d4291","ApplicationComponent","class concrete element A","",""
"id-0dde811e-771e-4146-849f-e3313f167975","ApplicationComponent","class concrete element A","",""
"e7a47ff0-3ed1-49f1-a7ad-25fcf82e978f","ApplicationComponent","class concrete element A","",""
"id-7e4a3208-67d4-42c9-b639-0b99ef22d2df","ApplicationComponent","class concrete element A","",""
"a80aca60","ApplicationComponent","class concrete element B","",""
"de761981-bf05-4508-9e26-6adbe5257eac","ApplicationComponent","class concrete element B","",""
"id-767bfa29-bf50-4758-9f7a-76656440169e","ApplicationComponent","class concrete element B","",""
"fe0b7dca-39f3-4d79-9ab3-f71f8315dd61","ApplicationComponent","class concrete element B","",""
"id-1fffd6dd","ApplicationComponent","class concrete visitor 1","",""
"id-724f21e7-ee31-49b7-825e-acfa2974a8fb","ApplicationComponent","class concrete visitor 1","",""
"id-53f67784-923a-47af-89fb-a8810295c495","ApplicationComponent","class concrete visitor 1","",""
"f3243019-905f-47cf-aab8-326537464269","ApplicationComponent","class concrete visitor 1","",""
"id-2e80addc","ApplicationComponent","class concrete visitor 2","",""
"id-4b914d14-413e-4b7a-8c6c-4d2dc7d34db7","ApplicationComponent","class concrete visitor 2","",""
"cf84dbba","ApplicationComponent","class object structure","",""
"id-87a83c05-a203-4aa6-ab84-04cb68c569b1","ApplicationComponent","class object structure","",""
"d504ea12-36c8-4932-9536-1bcd940dee6c","ApplicationComponent","class object structure","",""
"id-04af1f2e-f024-4edf-89d8-144ed567a722","ApplicationComponent","class object structure","",""
"b1090d1e-7cfa-45f0-b583-1cdf5e97ac94","ApplicationComponent","class TXT visitor for A","",""
"id-3020c127-544c-4287-b199-71cb95c03717","ApplicationComponent","class TXT visitor for B","",""
"id-00d4e5be-8075-41ef-822e-4769b366f14b","ApplicationComponent","class XML visitor for A","",""
"c053aa3f-89d3-4d12-9376-df6ee676cbc9","ApplicationComponent","class XML visitor for B","",""
"dcb3b8f7","ApplicationComponent","client","",""
"id-2b37e513","ApplicationComponent","concrete element B","",""
"a3e734af","ApplicationComponent","concrete visitor 2","",""
"id-372963cb","ApplicationFunction","accept(VISITOR)","",""
"id-3d6a0b9e","ApplicationFunction","accept(VISITOR)","",""
"cd60d131","ApplicationFunction","accept(VISITOR)","",""
"id-5bcb22d0-4c74-436c-933b-cb0646289918","ApplicationFunction","accept(VISITOR)","",""
"id-7898596a-a615-46ca-8db3-241cd973be1f","ApplicationFunction","accept(VISITOR)","",""
"id-56bb85df-ccca-46dc-b4ef-1f122ed4ea8c","ApplicationFunction","accept(VISITOR)","",""
"id-9164083a-1821-451b-a5cf-497346cc764e","ApplicationFunction","accept(VISITOR)","",""
"id-942692d7-e35c-489a-99e2-ca85598fb23c","ApplicationFunction","accept(VISITOR)","",""
"b0e227d6-f484-474c-8d70-41103a25c958","ApplicationFunction","accept(VISITOR)","",""
"c138e26f-0277-4a03-b728-01dc1e575568","ApplicationFunction","accept(VISITOR)","",""
"id-912143f8-2e12-485e-9a95-45cec2c7d628","ApplicationFunction","accept(VISITOR)","",""
"id-31e46dc6-a716-4fb8-947c-f29d374072a4","ApplicationFunction","add visitor to arr (string,visitor)","",""
"id-6ceaa861-6616-4b58-9c67-798d19a6c40b","ApplicationFunction","add visitor to arr (string,visitor)","",""
"id-8ae63dde","ApplicationFunction","Application Function","",""
"id-2fbb8c99","ApplicationFunction","Application Function","",""
"f4520187","ApplicationFunction","Application Function","",""
"id-7aea3513","ApplicationFunction","Application Function","",""
"id-0a68eb5b-2346-4005-a017-98610d745e91","ApplicationFunction","constructor","",""
"b2caa2f3-3cd3-409f-b0e8-8d15c13e8249","ApplicationFunction","constructor","",""
"id-468353fc-6daa-4bad-bbc8-ed64fa07330b","ApplicationFunction","constructor(object of class A)","",""
"id-15cbabba-502d-4f8b-a7ab-f5980da9fb98","ApplicationFunction","constructor(object of class A)","",""
"id-0fb01ce6-f69f-4459-9c64-e776e9a8d5ae","ApplicationFunction","constructor(object of class B)","",""
