"ID","Type","Name","Documentation","Specialization"
"id-11f5304f","ArchimateModel","Archisurance","An example of a fictional Insurance company.",""
"id-275","BusinessActor","Archisurance","",""
"id-324","BusinessActor","Back Office","",""
"id-402","BusinessActor","Board","",""
"id-310","BusinessActor","Car","",""
"id-1337","BusinessActor","Client","",""
"id-282","BusinessActor","Customer Relations","",""
"id-423","BusinessActor","Director of Finance","",""
"id-416","BusinessActor","Director of Operations","",""
"id-409","BusinessActor","Director of Sales","",""
"id-352","BusinessActor","Document Processing SSC","",""
"id-331","BusinessActor","Finance","",""
"id-296","BusinessActor","Front Office","",""
"id-303","BusinessActor","Home & Away","",""
"id-345","BusinessActor","HRM","",""
"id-289","BusinessActor","Intermediary Relations","",""
"id-317","BusinessActor","Legal Aid","",""
"id-338","BusinessActor","Product Development","",""
"id-1546","BusinessCollaboration","collaboration","",""
"id-740","BusinessCollaboration","Contracting","",""
"id-733","BusinessCollaboration","Negotiation","",""
"id-651","BusinessEvent","Damage Occured","",""
"id-650","BusinessEvent","Request for Insurance","",""
"id-495","BusinessFunction","Asset Management","",""
"id-489","BusinessFunction","Claims Handling","",""
"id-483","BusinessFunction","Contracting","",""
"id-501","BusinessFunction","Financial Handling","",""
"id-477","BusinessFunction","Maintaining Customer Relations","",""
"id-471","BusinessFunction","Maintaining Intermediary Relations","",""
"id-722","BusinessInteraction","Check and Sign Contract","",""
"id-721","BusinessInteraction","Formalise Request","",""
"id-1538","BusinessInterface","e-mail","",""
"id-1542","BusinessInterface","GIM","",""
"id-1544","BusinessInterface","mail","",""
"id-1540","BusinessInterface","phone","",""
"id-1536","BusinessInterface","phone","",""
"id-794","BusinessObject","Car Insurance Policy","",""
"id-791","BusinessObject","Customer","",""
"id-674","BusinessObject","Customer File","",""
"id-673","BusinessObject","Damage Claim","",""
"id-803","BusinessObject","Home Insurance Policy","",""
"id-675","BusinessObject","Insurance Policy","",""
"id-792","BusinessObject","Insurance Request","",""
"id-796","BusinessObject","Legal aid Insurance Policy","",""
"id-795","BusinessObject","Liability Insurance Policy","",""
"id-793","BusinessObject","Travel Insurance Policy","",""
"id-572","BusinessProcess","Accept","",""
"id-596","BusinessProcess","Close Contract","",""
"id-1311","BusinessProcess","Collect Premium","",""
"id-612","BusinessProcess","Create Contract","",""
"id-556","BusinessProcess","Handle Claim","",""
"id-1302","BusinessProcess","Inform Customer","",""
"id-588","BusinessProcess","Pay","",""
"id-564","BusinessProcess","Register","",""
"id-580","BusinessProcess","Valuate","",""
"id-521","BusinessRole","Customer","",""
"id-528","BusinessRole","Customer's Bank","",""
"id-1368","BusinessRole","Insurant","",""
"id-514","BusinessRole","Insurer","",""
"id-507","BusinessRole","Intermediary","",""
"id-1202","BusinessService","Claim Registration Service","",""
"id-1226","BusinessService","Claims Payment Service","",""
"id-1220","BusinessService","Customer data mutation Service","",""
"id-1214","BusinessService","Customer Information Service","",""
"id-1196","BusinessService","Insurance Application Service","",""
"id-1208","BusinessService","Premium Payment Service","",""
"id-1239","Contract","Travel Insurance Policy","",""
"id-676","Representation","Claim Form","",""
"id-1813","ApplicationComponent","Bank System","",""
"id-1793","ApplicationComponent","Call center application","",""
"id-867","ApplicationComponent","Claim Data Management","",""
"id-1393","ApplicationComponent","CRM System","",""
"id-855","ApplicationComponent","Customer Data Access","",""
"id-1399","ApplicationComponent","Financial Application","",""
"id-843","ApplicationComponent","Home & Away Policy Administration","",""
"id-861","ApplicationComponent","Policy Data Management","",""
"id-849","ApplicationComponent","Risk Assessment","",""
"id-1800","ApplicationComponent","Web portal","",""
"id-897","ApplicationFunction","Calculate Premium","",""
"id-891","ApplicationFunction","Calculate Risk","",""
"id-903","ApplicationFunction","Create Policy","",""
"id-885","ApplicationFunction","Policy Creation","",""
"id-909","ApplicationFunction","Store Policy","",""
"id-1407","ApplicationService","CIS","Customer Information Service",""
"id-1414","ApplicationService","Claim InfoServ","",""
"id-935","ApplicationService","Policy Creation Service","",""
"id-837","DataObject","Customer File Data","",""
"id-839","DataObject","Damage Claim Data","",""
"id-838","DataObject","Insurance Policy Data","",""
"id-946","DataObject","Insurance Request Data","",""
"id-1095","CommunicationNetwork","BIBIT","",""
"id-1089","CommunicationNetwork","LAN","",""
"id-1101","CommunicationNetwork","LAN","",""
"id-1071","Device","Admin Server","",""
"id-1882","Device","BIBIT Server","",""
"id-1065","Device","NAS File Server","",""
"id-1053","Device","Unix Server","",""
"id-1059","Device","Unix Server","",""
"id-998","Node","Firewall","",""
"id-1004","Node","Firewall","",""
"id-986","Node","Mainframe","",""
"id-992","Node","Unix Server Farm","",""
"id-1022","SystemSoftware","CICS","",""
"id-1016","SystemSoftware","DBMS","",""
"id-1870","SystemSoftware","Financial Software","",""
"id-1010","SystemSoftware","Message Queing","",""
"id-1455","TechnologyService","Claim Files Service","",""
"id-1462","TechnologyService","Customer File Service","",""
"id-1128","TechnologyService","Database Service","",""
"id-1110","TechnologyService","File Service","",""
"id-1116","TechnologyService","Network Service","",""
"f5674126","Principle","Client Satisfaction Goal","",""
"af0e8c76","Principle","Component Principle","",""
"b56d54a6","Principle","Costs Goal","",""
"id-3db08b5c","Principle","Infrastructure Principle","",""
"id-712d4eec","Principle","Licence Principle","",""
"id-3764dcef","Principle","Occupancy Principle","",""
"id-3938617c","Principle","One Stop Principle","",""
"id-66a2171b","Principle","TCO Goal","",""
"id-67316f1f","Principle","Treatment Time Principle","",""
"id-1250","Value","Be Insured","",""
