"ID","Type","Name","Documentation","Specialization"
"6e740d83-313a-41a8-8df5-5d59fe2bb596","ArchimateModel","(new model)","",""
"4fdf2165-fa47-4026-8957-648a978a4b6c","BusinessObject","","",""
"a1349b74-d8f4-485f-a4c9-ddc010606425","ApplicationCollaboration","Application Collaboration","",""
"ca040819-97a4-41c8-ab4f-706008962e60","ApplicationComponent","account management service","",""
"850f317e-94ff-4191-aab0-662ffc8ef7e5","ApplicationComponent","Application Component","",""
"5f749041-d50f-4f57-afb8-7916acff9e77","ApplicationComponent","authentication service","",""
"8f8bf9da-468e-4d9d-bef2-82603d32a766","ApplicationComponent","chat service","",""
"64eedff5-8844-42d8-900a-b42ef92dfdec","ApplicationComponent","delegates verification service","",""
"8deb66e4-f026-4e3f-9f27-c3f3d57d76a0","ApplicationComponent","email service","",""
"145e8029-c8f1-4c88-9b01-91cd9fe192d7","ApplicationComponent","Lisk blockchain node","",""
"3c84eb66-38ef-4cb5-98d7-9bde0c6a6243","ApplicationComponent","marketplace service","",""
"29d6ac2b-e663-40da-83e5-aeb696307f54","ApplicationComponent","Own sidechain implementation","",""
"6d4e48f2-e3bf-4392-9f1c-91dacf808f2c","ApplicationComponent","payment service","",""
"466b7c40-448d-4a6c-b6b5-c9fe4de3de1d","ApplicationComponent","payment verification service","",""
"a45ba4d6-7bf8-405a-832a-2b14a1bdd29f","ApplicationComponent","sidechain explorer service","",""
"21a91b96-7fc8-4937-ae49-1c230c3dd5ff","ApplicationComponent","web ui","",""
"90a41426-42d8-44e3-8407-e2c80ba06a76","ApplicationEvent","Application Event","",""
"4079e378-6600-4306-bcfe-f78ea2d16c67","ApplicationEvent","message queue","",""
"cec1e801-72ef-441e-b444-1fc36a42edf7","ApplicationEvent","message queue","",""
"76a07de2-1326-40fa-b275-9ffbd81cc5fa","ApplicationInterface","3th party sidechains","",""
"fa822bbd-474f-45b4-a9a3-0270029b9ba3","DataObject","Databases","",""
