"ID","Type","Name","Documentation","Specialization"
"f9e55ffd","ArchimateModel","10 Record Set","",""
"e38ab465-444d-4214-a75e-de8d6df82682","ApplicationComponent","class criteria","",""
"dd0de745-da09-4008-a869-75fb79810985","ApplicationComponent","class mapper 1","",""
"id-18e04048-27fe-40e5-88d3-e89906ae12ce","ApplicationComponent","class mapper 2","",""
"c57e966d-eae9-4b72-9af8-a2676691a7bc","ApplicationComponent","class mapper 3","",""
"id-20406329-2408-4d20-af85-258dc34992c8","ApplicationComponent","class query object","",""
"id-51f927d6-6314-421e-b123-bc0ebe2a9fb7","ApplicationComponent","class record","",""
"e6797269-eefd-4b87-a4fa-9885b942351d","ApplicationComponent","class record set","",""
"bd05a070-26a1-4281-b3af-75dc716d843e","ApplicationComponent","class record set","",""
"be84c507-7168-4ce6-bea9-dd224c710339","ApplicationComponent","class type 2","",""
"id-40d22527-b660-45d8-9f5d-639c93298b51","ApplicationComponent","class type 3","",""
"id-8fa4c673-e294-42e9-ab77-e9fe607dce5b","ApplicationComponent","class unit of work","",""
"cecf5752-1f90-48b8-9a86-c88b1faee656","ApplicationComponent","Repository 2","",""
"bb3555ce-ebbf-48ff-9210-925b077e9727","ApplicationComponent","Repository 3","",""
"id-218354a9-c1b9-447b-9916-de3a7f38c669","ApplicationEvent","create session","",""
"id-538b5a30-9b00-44c7-9b66-f76ba143e5f4","ApplicationEvent","end session","",""
"e2d3605f-bbf1-4fe7-a1de-951e7bb6bc4e","ApplicationEvent","some operations","",""
"ec8cf1c5-4cf8-4d4a-bf29-0b38a7585332","ApplicationFunction","commit","",""
"id-647bec91-f1b6-4e09-970a-f1eb3bfe97ef","ApplicationFunction","Create/insert (v_object)","",""
"f91b381f-7898-457f-996b-46f315e20f02","ApplicationFunction","Create/insert (v_object)","",""
"id-2d537047-d663-49ea-abca-76bf0a1d6180","ApplicationFunction","Create/insert (v_object)","",""
"bd8b615a-f004-46c9-a799-8e0a1741104b","ApplicationFunction","Create/insert (v_object)","",""
"fd0d3812-5822-439d-a3ee-1e8f94676240","ApplicationFunction","Delete (id)","",""
"c3c3cdd8-9c3e-4662-a437-7e4a1394941d","ApplicationFunction","Delete (id)","",""
"id-67cc068b-7fb3-4d4a-9b29-5b9694212d05","ApplicationFunction","Delete (id)","",""
"id-702637c8-739f-4061-96b7-5fbbc0a97143","ApplicationFunction","Delete (id)","",""
"cc1dd425-877b-4517-810c-d2883defd8f2","ApplicationFunction","factory (props)","",""
"e83c8b2a-7d48-403c-a5e0-838acea8be32","ApplicationFunction","factory (props)","",""
"id-08fdabc5-567f-4924-abbd-2e6a660eb041","ApplicationFunction","factory (props)","",""
"e7d89580-8fba-41f0-935e-5af49df0b951","ApplicationFunction","Find(query object)","",""
"a24beddd-ab7d-432b-9797-35178616e067","ApplicationFunction","Find(query object)","",""
"id-923df34e-ac2e-40d3-9f1d-d9d109486b6e","ApplicationFunction","Find(query object)","",""
"c1e96126-2744-49f0-b5f6-171a3c0d2407","ApplicationFunction","Read(id)","",""
"bb278ca2-b718-407f-9c4c-ebb8f59d0ef1","ApplicationFunction","Read(id)","",""
"id-179de61b-ba66-4f50-9eac-772eeea12153","ApplicationFunction","Read(id)","",""
"e8886a70-e68b-4860-8c91-cc770fe9abf1","ApplicationFunction","Update (v_object)","",""
"aa51bde5-8de2-4c83-a5fd-72c9b12382e5","ApplicationFunction","Update (v_object)","",""
"id-648071a1-cfcb-47aa-a1b5-638ad656863e","ApplicationFunction","Update (v_object)","",""
"af85b060-9b63-432b-b454-49d37e208a86","ApplicationFunction","Update (v_object)","",""
"id-22883154-329f-4bfe-ac20-0f96e870fc99","ApplicationProcess","add object to array (object)","",""
"id-5b066b74-04d6-4f3d-a21c-15f0f00c6a05","ApplicationProcess","add object to array (object)","",""
"id-4bb1dfb1-1420-43e9-9093-f4633014ce78","ApplicationProcess","add object to array (object)","",""
"id-97c3bac9-1aff-4e24-95c5-f652ada542e7","ApplicationProcess","add object to array (object) (copy)","",""
"ffba0a40-cfcd-4821-ad30-22b07da47198","ApplicationProcess","add SQL query to array","",""
