"ID","Type","Name","Documentation","Specialization"
"4031ec40","ArchimateModel","10 Special Case","",""
"2cb95a91","ApplicationComponent","class","",""
"df96fdd7","ApplicationComponent","Null object","",""
"11c65c13","ApplicationComponent","subclass","",""
"e840b97a","ApplicationComponent","Unknown object","",""
"f2d7c0c0","ApplicationFunction","func","",""
"691436a9","ApplicationFunction","func","",""
"59242c33","ApplicationFunction","func","",""
"586433d1","ApplicationFunction","func","",""
"1b9d4a4b","ApplicationInterface","interface","",""
"83b8ce48","ApplicationProcess","get object of superclass/interface","",""
"0ec01385","ApplicationProcess","no operations","",""
"e31a9dfc","ApplicationProcess","no operations","",""
"b3cecb14","ApplicationProcess","operations on object","",""
"9af26d59","ApplicationProcess","return result","",""
"a6ea680c","ApplicationProcess","some operations","",""
"2338b9ed","ApplicationProcess","some operations (copy)","",""
"5bb603dd","ApplicationProcess","some process","",""
"fb72f527","DataObject","Data Object","",""
"0bf47baa","DataObject","Data Object","",""
"91a5fd61","DataObject","return 'null'","",""
"2c5b6d5a","DataObject","return 'unknown'","",""
