"ID","Type","Name","Documentation","Specialization"
"_nsmG4K0UEeqEM7mFKilpXw","ArchimateModel","MobilityServiceProfil","",""
"_nspLQK0UEeqEM7mFKilpXw","BusinessActor","Actor","",""
"_nspLTK0UEeqEM7mFKilpXw","BusinessActor","Land Berlin ÖPNV (U-bahn, Bus, Tram)","",""
"_nspLPq0UEeqEM7mFKilpXw","BusinessActor","VBB (SPNV)","",""
"_nspLRq0UEeqEM7mFKilpXw","BusinessEvent","Event","",""
"_nspLKq0UEeqEM7mFKilpXw","BusinessInteraction","Betriebliche Mob Management","",""
"_nspLRK0UEeqEM7mFKilpXw","BusinessObject","Object","",""
"_nspLMq0UEeqEM7mFKilpXw","BusinessProcess","Process","",""
"_nspLPK0UEeqEM7mFKilpXw","BusinessRole","Aufgabenträger ÖPNV","",""
"_nspLLK0UEeqEM7mFKilpXw","BusinessRole","Unternehmen","",""
"_nspLMK0UEeqEM7mFKilpXw","BusinessService","Job Rad zur Verfügung stellen","",""
"_nspLLq0UEeqEM7mFKilpXw","BusinessService","ÖPNNV","",""
"_nspLQq0UEeqEM7mFKilpXw","Contract","Contract","",""
"_nspLIK0UEeqEM7mFKilpXw","Product","Product","",""
"_nspLNq0UEeqEM7mFKilpXw","ApplicationComponent","Component","",""
"_nspLNK0UEeqEM7mFKilpXw","ApplicationService","Service","",""
"_nspLOK0UEeqEM7mFKilpXw","DataObject","Data Object","",""
"_nspLSq0UEeqEM7mFKilpXw","Constraint","Constraint","",""
"_nspLHK0UEeqEM7mFKilpXw","Driver","CO 2 Grenzwerte","",""
"_nspLJq0UEeqEM7mFKilpXw","Goal","e Mobilität","",""
"_nspLIq0UEeqEM7mFKilpXw","Goal","Klima","",""
"_nspLKK0UEeqEM7mFKilpXw","Goal","mehr ÖPNV","",""
"_nspLJK0UEeqEM7mFKilpXw","Goal","Schadstoffe","",""
"_nspLGq0UEeqEM7mFKilpXw","Goal","Umweltwelt","<p>Reduduktion der Umweltbelastungen.</p>",""
"_nspLUK0UEeqEM7mFKilpXw","Principle","Principle","",""
"_nspxQ60UEeqEM7mFKilpXw","Principle","Principle","",""
"_nspLSK0UEeqEM7mFKilpXw","Requirement","Gesetze","",""
"_nspLGK0UEeqEM7mFKilpXw","Stakeholder","Stakeholder","",""
"_nspLTq0UEeqEM7mFKilpXw","Stakeholder","Stakeholder","",""
"_nspLHq0UEeqEM7mFKilpXw","Value","Value","",""
"_nspxQa0UEeqEM7mFKilpXw","Value","Value","",""
"_nspLOq0UEeqEM7mFKilpXw","Grouping","Grouping","",""
