"ID","Type","Name","Documentation","Specialization"
"8add2b99","ArchimateModel","Archi_STIC_1.0","",""
"6c2f82dd","BusinessRole","AAAAULL","",""
"edf7d8ea","BusinessRole","Alumnos","",""
"5b8631bd","BusinessRole","ExAlumnos","",""
"556d30a2","BusinessRole","PAS","",""
"9ae1bbf0","BusinessRole","PDI","",""
"7d31c983","BusinessRole","Rol","",""
"b65f8bb5","BusinessService","Servicio","",""
"1f312631","BusinessService","Servicio 1","",""
"d3c674ca","BusinessService","Servicio 2","",""
"ccac76fa","BusinessService","Servicio 3","",""
"96553c26","ApplicationComponent","Servidor Web Estándar","",""
"3ea367ad","ApplicationComponent","Servidor Web Seguro","",""
"4809670b","ApplicationInterface","http","",""
"9b891862","ApplicationInterface","https","",""
"cec8b374","TechnologyService","Infrastructure Service","",""
"5cd237e1","TechnologyService","Infrastructure Service","",""
"f5f50ddb","TechnologyService","Infrastructure Service","",""
"58073a80","TechnologyService","Infrastructure Service","",""
"19d066f0","TechnologyService","Infrastructure Service","",""
"fbf1edc4","TechnologyService","Infrastructure Service","",""
