"ID","Type","Name","Documentation","Specialization"
"id-ffaadcdce22d44a9a124273a25e3765b","ArchimateModel","(new model)","",""
"id-6daa78196fec41baa996eb6eebe86a12","BusinessActor","Business Actor","",""
"id-d6173a4b4d274e04b1809ac34330bcf3","BusinessActor","Business Actor","",""
"id-572b8d00811240a888c6448c16b4d1a0","BusinessActor","Chefe","",""
"id-7bcf47dc595e41c2837c591e53edb69c","BusinessActor","Chefe","",""
"id-f84f5107df1541e3aa927a3a3bab2120","BusinessActor","Cliente","",""
"id-17233d63d7574676be5adb36b3114b68","BusinessActor","Cliente potencial","",""
"id-259e7e5140a5482f9e39439029608f5d","BusinessActor","D-ON","",""
"id-f82aba07b19243bfafec49fcb7c1fe2f","BusinessActor","D-PRJ","",""
"id-4403ab0f754b477a9523e2d097178fbe","BusinessActor","Departamento de Vendas da PICK","",""
"id-0d4c60ab7e874933aea6e6324b703bb9","BusinessActor","Departamento de Vendas da PICK ","",""
"id-7815d27b9d324e579e94bdfed47748b9","BusinessActor","Empresa","",""
"id-cc947c8ff6e4497ca800a68ee5aec1f1","BusinessActor","Equipa","",""
"id-e3493abc8eb34c159cd28f63db2a5ecf","BusinessActor","Funcionário do D-ON","",""
"id-add0b4baaba7435ebe7f99be3d632199","BusinessActor","Funcionário do D-PRJ","",""
"id-6d09006f91284173a579bd8665592ee7","BusinessActor","Funcionário do Dep. Vendas","",""
"id-85ac61faf2ba4d63b39be04649970baf","BusinessActor","Funcionários","",""
"id-c8b768b0b87e4326b25b9b85ce3d9dd9","BusinessActor","Negociante","",""
"id-1ef326bfc70a4a78bbd3e251c165996b","BusinessEvent","Descrição da loja","",""
"id-be3610d3597f451e82f3e4820c5d8c8b","BusinessEvent","Instalação","",""
"id-be62564b421f465fb66ce3786f58d452","BusinessEvent","Relatório","",""
"id-d3dd8a7c893848b7968a0ad9184120f7","BusinessEvent","Testes","",""
"id-ce3a2d4ff50b4b73be5386a1d6e92aca","BusinessInteraction","Plano de projeto","",""
"id-f52ccda265b940faa8fcf41404e3b7c3","BusinessObject","Contrato","",""
"id-a9d5bcc121b94501b73ca99048cb93e6","BusinessProcess","Business Process","",""
"id-cbe48e1f289e44498dd4d8c992f5c580","BusinessProcess","Fase de instalação","",""
"id-1202aee8635f42deb431a9da5cf4f3a5","BusinessProcess","Negociação","",""
"id-b09979c92dd74648b44a903a14e0b266","BusinessProcess","P-ON","",""
"id-a45e952b72304e94966d84aa62bea94b","BusinessProcess","P-SET","",""
"id-69d6952efc7547a88daa316d701db35b","BusinessProcess","Processo P-SIGN","",""
"id-75e8511beddb4f639b9dcb774b4e4a2e","BusinessRole","Equipa","",""
"id-7b3c778b43ea4943b2ca5e809555fa00","BusinessRole","Negociante","",""
"id-36e0c7a37f704c8b8c1f10d4ae78c86a","BusinessRole","U-HW","",""
"id-67722a0b5d124a55a71261372db9a57f","BusinessRole","U-HW (copy)","",""
"id-524ecc4d7ab343eba158646f456447be","BusinessRole","U-HW (copy)","",""
