"ID","Type","Name","Documentation","Specialization"
"_gW27gPtMEeq_35Z1GKTxtw","ArchimateModel","ZAHMAN","",""
"_RSK5YN2BEDiTaYqfIl2_lQ","BusinessObject","Actor","",""
"__5mrwN7YEDiaaKjZtyegMg","BusinessObject","Архитектура инфраструктуры","",""
"_6Nv8MN7YEDiaaKjZtyegMg","BusinessObject","Архитектура приложений","",""
"_yVX1QN7ZEDiaaKjZtyegMg","BusinessObject","Архитектура приложений","",""
"_EffREN2BEDiTaYqfIl2_lQ","BusinessObject","Бизнес-кейс","",""
"_NOSNMN2BEDiTaYqfIl2_lQ","BusinessObject","Бизнес-объект","",""
"_W7SrwN2GEDiTaYqfIl2_lQ","BusinessObject","Бизнес-процесс","",""
"_ShVo8N2GEDiTaYqfIl2_lQ","BusinessObject","Бизнес-цель","",""
"_DFpJQN2BEDiTaYqfIl2_lQ","BusinessObject","Версия","",""
"_GOv18N2GEDiTaYqfIl2_lQ","BusinessObject","Задача реализации","",""
"_ixpeIN7YEDiaaKjZtyegMg","BusinessObject","Мотиватор","",""
"_Px7PUN7ZEDiaaKjZtyegMg","BusinessObject","Объект архитектурыинфраструктуры","",""
"_D_uzoN7ZEDiaaKjZtyegMg","BusinessObject","Объект архитектурыприложений","",""
"_9mULEN2GEDiTaYqfIl2_lQ","BusinessObject","План реализации","",""
"_vR5yUN7bEDiaaKjZtyegMg","BusinessObject","Покуазатель","",""
"_rCfqkN2GEDiTaYqfIl2_lQ","BusinessObject","Программа испытаний","",""
"_KBYMUN2BEDiTaYqfIl2_lQ","BusinessObject","Тест - кейс","",""
"_GfYFMN2BEDiTaYqfIl2_lQ","BusinessObject","Требование","",""
