"ID","Type","Name","Documentation","Specialization"
"id-c4887727f2ff4081b823c69d41a1ec23","ArchimateModel","ArchiModel_Architecture_vision","",""
"id-3fa7c6b869a54efa9584ecabb12686ee","Resource","Resource","",""
"id-206d1918bb524ff988e8f23357e66bd1","Resource","Resource2","",""
"id-31dab9313538473dae9c0d78d7584d14","Assessment","Average revenue per customer is too low","",""
"id-0d6159b9e3384ac2a57619227718403f","Assessment","Inefficient order fullfilment","",""
"id-6bbf319926d04f0fba5421ff9183e2c5","Assessment","Lack of global and consistent view over customer","",""
"id-7895cc716f9a456aa1e83d0c6dd3e06f","Assessment","Lead time to customer too long","",""
"id-34a378fa39084f7093ac62a0f19ac089","Assessment","Market pressure on service innovation","",""
"id-69f70822f1894a0e971830e3050577e8","Assessment","Suboptimal client profiling","",""
"id-bd780b0e2b084ac09226c15d79ffcb60","Assessment","Suboptimal sales processes","",""
"id-8ffa2898f32b41a1b62af5be5d922130","Driver","Business performance","",""
"id-3ff4204c43d140daaed5349d0e7bbf11","Driver","Customer satisfaction","",""
"id-3340e5e48d794c43ae868c518f666134","Driver","Service quality","",""
"id-8dc2a4571f164eb7be7e0317476c3910","Goal","Improve client profiling","",""
"id-00a5548a0390421da7d08efeb27f6324","Goal","Improve customer relationship management","",""
"id-97e3a7587dd649e8b41e457e3c36a8eb","Goal","Improve marketing/service strategy","",""
"id-b802428a0a26414d9455976cd9d918d5","Goal","Increase coordination between sales and production processes","",""
"id-518e57d6f2ac453a93b69bb9278972dc","Goal","Increase data transparency","",""
"id-1e4f611ca946425990d33c99e2127dfa","Goal","Increase sales processes coordination","",""
"id-8139ec4051f64623ae6beb99f96f2ce9","Goal","Maximization of average revenue per customer","",""
"id-52d491ca052044a3b081d8bd23624a81","Goal","Optimize order handling","",""
"id-577b2208e1ec48c6b26ce493c26c452a","Requirement","Create innovative customer services","",""
"id-d109f53d4f77465dad56bdac29f8ab26","Requirement","Customer data integration and standardisation","",""
"id-6088aec857ca42aeb6a8c78b81d9842a","Requirement","Enhance sales risk management","",""
"id-a96085a3bc18472d80ef8934f8a5713c","Requirement","Stop bulk-order system","",""
"id-6e8d9b342dbc4be18907c9f300881e8e","Requirement","Unified customer order view company-wide","",""
"id-df2dce12fba54ac1a83824fd8ed1971f","Requirement","Unified view of customer company-wide","",""
"id-848e8134998f4839a8342612b18defbf","Stakeholder","Builder","",""
"id-086062728efb442584d8a42f187d8158","Stakeholder","Management","",""
